id,created_at,favorite_count,retweet_count,text
1307428577118490625,2020-09-19 21:17:18,7367,755,🔥 https://t.co/oC95y16j5m
1294124122843172864,2020-08-14 04:10:09,65208,18792,Laugh now Cry later (Official Video) https://t.co/reMRBDT5nj
1293948210491187200,2020-08-13 16:31:08,6288,867,"Congrats to Dreamcrew, Forest Hill, cast and crew. Spree the movie is now available for pre-order! 
https://t.co/zaXnX14Cf9 https://t.co/CqWXUJFLC8"
1256071244736155649,2020-05-01 04:01:36,137417,44697,DARK LANE DEMO TAPES https://t.co/nLLgCmPlN1 https://t.co/9uqYhDWxlc
1245928743681417216,2020-04-03 04:18:55,37375,11322,TOOSIE SLIDE (official video) https://t.co/CKhTIXdVT1
1245924042592276480,2020-04-03 04:00:14,75008,21659,TOOSIE SLIDE https://t.co/JTDrEtJsjX https://t.co/JgDRAUM2SG
1227322884630118400,2020-02-11 20:05:52,8304,2058,"URL x CAFFEINE
Excited to announce this major step forward!! I managed to get @urltv and @caffeine linked up with the objective of making battle rap easier to access in you home or on your mobile device and it’s FREE to watch battles once you sign up. Greatness Simplified. https://t.co/0XqosqiN1Q"
1220945757659754496,2020-01-25 05:45:27,4306,459,Congrats to the cast and crew on their premiere at @sundancefest. Honored to be a part of this. https://t.co/gou3DPVd2w
1172360739803152384,2019-09-13 04:05:56,5509,1295,"TOP BOY (a selection of music inspired by the series) Now Available Everywhere! @OVOSound 
TOP BOY - The Netflix Series
Available 12am PST @topboynetflix    https://t.co/dJzSFs5rs0"
1167929601995075589,2019-08-31 22:38:10,9310,1706,Almost that time!!! TOP BOY https://t.co/0wDyY4rk5r
1158097143216971776,2019-08-04 19:27:30,26214,4671,TONIGHT @euphoriaHBO EPISODE 8 https://t.co/CaGAvTu8ZM
1155593186258980864,2019-07-28 21:37:40,15781,2710,TONIGHT @euphoriaHBO EPISODE 7 https://t.co/F6aEmh3v0W
1153060517193236480,2019-07-21 21:53:44,16733,2867,TONIGHT @euphoriaHBO EPISODE 6 https://t.co/VWmfCcYw7d
1150521029644521474,2019-07-14 21:42:43,15063,2664,TONIGHT @euphoriaHBO EPISODE 5 https://t.co/X0c1h3HVh0
1147982331870769152,2019-07-07 21:34:51,13092,2024,TONIGHT @euphoriaHBO EPISODE 4 https://t.co/TRDwHoNVsH
1128017422160617473,2019-05-13 19:21:25,18730,2120,"Supporting  home grown businesses has always been a top priority of mine, so when an opportunity came up to get involved with Cargojet, a great Canadian company I was honored to do so. @CargoJetAirways @ajayvirmani1 https://t.co/orrLpuHwOL"
1111312779577692160,2019-03-28 17:03:08,25918,4253,#euphoria is coming soon to @HBO https://t.co/KbKYd1wx66
1096273412580794368,2019-02-15 05:02:03,109350,36525,"So Far Gone the full original version of the mixtape, streaming everywhere for the first time  https://t.co/3Rxoxuv3MC"
1087635466931695616,2019-01-22 08:57:57,38868,9798,ASSASSINATION VACATION 😈🏝 UK and EU tour tickets on sale Friday!!! Me and @torylanez w/ opening sound set by @tiffanycalver 🇬🇧 🇮🇪 🇳🇱 🇫🇷 🇧🇪 https://t.co/IaQoWRounT
1086299175732428800,2019-01-18 16:28:00,8609,1713,"Proud to present MONSTERS AND MEN with @AltitudeFilms in UK and Irish cinemas and on digital platforms today!

@Guardian’s Film of the Week. “A powerhouse that couldn’t be more timely or necessary” @RollingStone

Book tickets and download now - https://t.co/lWdPKMqkRS https://t.co/Fd2SLVsAul"
1064585404685389824,2018-11-19 18:25:14,38224,5157,https://t.co/SqQVPvx0HK @RED https://t.co/1Yono6OE6i
1055619307084800000,2018-10-26 00:37:09,20441,4494,https://t.co/ZxYTkLwgSP
1047988136553271297,2018-10-04 23:13:37,18887,3179,Excited and honored to be a part of such an important film. I can’t wait for everyone to experience it. https://t.co/Qt8evM2k5l
1045401485432033282,2018-09-27 19:55:11,28612,6222,I’m excited and honored to be a part of such an important film. I can’t wait for everyone to experience it. Monsters and Men hits theatres this Friday!September 28th! @NEONrated https://t.co/8qO4UFmFVe
1025188376876646405,2018-08-03 01:15:30,107657,30750,https://t.co/tNJ89wFdcO
1023969057907728389,2018-07-30 16:30:22,42658,6885,side effects include #EUPHORIA. coming soon @Zendaya @A24 @HBO https://t.co/xAaYg1Edks
1022742497385013248,2018-07-27 07:16:27,24793,8734,https://t.co/nn1DuFBeCp
1012583972835069952,2018-06-29 06:30:06,162072,51130,#ScorpionSZN https://t.co/5AgN5pnhpn
1006128597881573377,2018-06-11 10:58:45,16926,2929,"NEW DATES ADDED... 
https://t.co/6tokTJkp6Y https://t.co/ERBUykQjwE"
1000773567519182848,2018-05-27 16:19:46,56745,13809,"I'm Upset
https://t.co/Zyyq4J5gfu"
997462436855758854,2018-05-18 13:02:31,18816,3450,Tickets on sale now @ https://t.co/6tokTJ2NIo https://t.co/4HdoCx1GwJ
982460089230508032,2018-04-07 03:28:33,66153,22892,https://t.co/xi9VCqfeik
982459594378166272,2018-04-07 03:26:35,58213,26928,https://t.co/rWaJm2hHNB
974147677662298112,2018-03-15 04:57:59,318765,113287,playing fort nite with @ninja  https://t.co/OSFbgcfzaZ
964733944754159616,2018-02-17 05:31:10,93738,34168,"GODS PLAN VIDEO 
https://t.co/miRvCFIUfz"
785414067330674689,2016-10-10 09:38:00,42468,20769,Tickets Available October 14 @Ticketmaster https://t.co/A9Xe3p6tiA
780278976317054976,2016-09-26 05:32:59,40433,21702,#PleaseForgiveMe — A Film Inspired by The Album Views.  Available now only on @AppleMusic. https://t.co/dkMNmzF2T2 https://t.co/UPMxZ10IM3
778798368956882945,2016-09-22 03:29:35,15140,2867,"This Friday @HakkasanLV at the @MGMGrand  
Tickets Now Available: https://t.co/jtGpRBrB0S https://t.co/oI0R3QXgbj"
778701401182511104,2016-09-21 21:04:16,9286,2616,"Now Available On The App Store. 
https://t.co/AUgFOYDq4r https://t.co/MSWdTgQJDE"
773328391655284737,2016-09-07 01:13:50,13435,3457,Featuring @Drake #SummerSixteen Tour Merchandise &amp; Exclusive #LA Pop-Up #Revenge Merchandise. https://t.co/VxuYKc3urz
772263280693940224,2016-09-04 02:41:28,40628,24623,Drake - Childs Play (Video) now playing on the OVO Blog. https://t.co/6n0bL8avHp https://t.co/urHST0wznN
771138116426014720,2016-09-01 00:10:28,12747,3592,Featuring @Drake #SummerSixteen Tour Merchandise &amp; Exclusive #Revenge Merchandise. https://t.co/3aDBftelcd
765991272100364288,2016-08-17 19:18:45,13869,4451,PARTYNEXTDOOR 3 (P3) Now Available. https://t.co/HQjiz4KAXp https://t.co/ezCyKk3tKx
760872602135040002,2016-08-03 16:18:59,9807,2603,Featuring @Drake #SummerSixteen Tour Merchandise &amp; Exclusive #NYC Pop-Up #Revenge Merchandise. https://t.co/ZyxjmSxk88
759067771435089920,2016-07-29 16:47:14,6375,1788,"Toronto OVO Store Locations
https://t.co/F1IroymQ4T
https://t.co/wdVftiZVPc https://t.co/MKtGlxrKhM"
756022714142302208,2016-07-21 07:07:15,29736,12756,All Summer Sixteen https://t.co/v6xx5FrDGZ
748624834125393920,2016-06-30 21:10:43,9343,3449,Seventh Annual OVOFEST // TD Echo Beach // Tickets On Sale Now Exclusively at TicketMaster https://t.co/UYD1EVWJJN https://t.co/g7lcLOKhvK
739274472356610048,2016-06-05 01:55:43,11380,4903,"@applemusic @djkhaled @NaomiCampbell #forfree
https://t.co/OnPGOqJeKB"
735123155480653824,2016-05-24 14:59:52,16422,5746,"New Dates Added
Canada Pre-Sales Start Today 
With American Express #SummerSixteenTour https://t.co/TkCpnFGB9y"
733704158793060353,2016-05-20 17:01:17,26024,13095,"New Dates Added:
US Pre-Sales Start Mon - May 23, 2016
With American Express #SummerSixteenTour https://t.co/AbN5pETmbd"
728736913260220419,2016-05-07 00:03:14,27463,11271,#VIEWS Available Now. https://t.co/RLmxDTzE4O
728373781182488577,2016-05-06 00:00:16,43061,22692,#VIEWS Available Now. https://t.co/lCT1YwDcQ7
728028722352275456,2016-05-05 01:09:08,27924,12211,#VIEWS Available Now. https://t.co/HZH3NroEUa
727647294020042752,2016-05-03 23:53:28,38157,19464,#VIEWS Now Available https://t.co/mvC1zVdZF8
726019870375161856,2016-04-29 12:06:40,36201,16411,New date added to Summer Sixteen Tour. Tickets on sale today at 10am local time. https://t.co/Hyf6pmXhyJ
725886551603949568,2016-04-29 03:16:54,105298,83329,#VIEWS Now Available On iTunes https://t.co/LZ6JFz6WlC https://t.co/C5FSmRf8zw
725837971581067264,2016-04-29 00:03:52,31848,17607,"Views gone viral 
https://t.co/GoHX9DQhO3"
725716377609314304,2016-04-28 16:00:42,73359,61305,#VIEWS Eve. @AppleMusic https://t.co/Ob43T9bKpo
725422884961804288,2016-04-27 20:34:28,221828,203715,#VIEWS Tracklist https://t.co/6KLbbgzFSm
725308585471823872,2016-04-27 13:00:17,37725,22009,Additional shows have been added to the Summer Sixteen Tour. Pre sales begin at 10am local time today. https://t.co/LL0nXyWR6w
724770849753042944,2016-04-26 01:23:30,23818,13680,Tune into OVOSOUND Radio on Beats 1 this Thursday at 7PM PST / 10PM EST / 3AM GMT @applemusic. #VIEWS https://t.co/n0DLvcuSTK
724554075866574848,2016-04-25 11:02:07,76456,69157,Drake. Future. #SummerSixteenTour. Tickets on sale Friday 4/29. https://t.co/j5n9pJ7pGz https://t.co/224t47uV8l
724553661741973505,2016-04-25 11:00:29,23893,12220,Seventh Annual OVOFEST https://t.co/Y8KeKSHt6R
724402871186391040,2016-04-25 01:01:17,173058,124104,To the city I love and the people in it...Thank you for everything #VIEWS https://t.co/HEXHNwrWwd
724326904824635393,2016-04-24 19:59:26,14478,4589,"TORONTO TODAY #VIEWS
567 QUEEN ST. W - TORONTO. 5PM                     
Powered by @beatsbydre https://t.co/RkSfJmZPcp"
723996121933221888,2016-04-23 22:05:01,12222,3921,"PALM SPRINGS TODAY #VIEWS
Powered by @beatsbydre https://t.co/msfidnyzDp"
723270415485927424,2016-04-21 22:01:19,13096,4584,"LOS ANGELES TODAY #VIEWS
441 N Fairfax - LA. 5PM                     
Powered by @beatsbydre https://t.co/VOCXIzovbI"
722500710932328448,2016-04-19 19:02:47,14040,5154,"MIAMI TODAY #VIEWS
500 NW 23RD ST - MIAMI. 5PM                     
Powered by @beatsbydre https://t.co/gLGwXUf4If"
722122973784776704,2016-04-18 18:01:48,21913,9780,"NYC TODAY #VIEWS                        
Powered by @beatsbydre https://t.co/KGxVm8EnTy"
719003714271449088,2016-04-10 03:26:58,155953,148624,4/29/16 #VIEWS https://t.co/kHa2rerRyV
717387104981020672,2016-04-05 16:23:08,29633,20925,Drake – Pop Style Feat. The Throne now available on iTunes: https://t.co/Iqs5KTxKPG #VIEWS @AppleMusic https://t.co/jIYg5y3GeE
717386761995988993,2016-04-05 16:21:47,30453,20537,Drake – One Dance Feat. Wizkid &amp; Kyla now available on iTunes: https://t.co/aABsxCZpNa #VIEWS @AppleMusic https://t.co/2FuZmth13U
701143873272164352,2016-02-20 20:38:20,14080,3581,@HarveysCanada it's a beautiful ting.... https://t.co/4H2NJZRDg2
699696503674302465,2016-02-16 20:47:00,91612,85915,And on the off chance that Metro Boomin doesn't trust you...well...
696965851367546881,2016-02-09 07:56:22,47581,27279,That's why I sing all the songs I sung
696496980990668801,2016-02-08 00:53:15,60535,26264,I am not performing at the Grammy Awards...but hey it's the thought that counts.
696236052818878464,2016-02-07 07:36:25,11527,4669,DRAKE x @TMobile SUPERBOWL 50 COMMERCIAL   https://t.co/ra7seZ0jBt
695383458827227141,2016-02-04 23:08:30,14639,5560,Master is a bit of a stretch. But then again you have to stretch before everything works out. So yes Reginald @ReggieMillerTNT... its a go!
693349006358003712,2016-01-30 08:24:19,32081,21282,OVO Sound Radio Episode 14 tmrw at 3PM PST/6PM EST...it begins.
690580702652448768,2016-01-22 17:04:04,16180,4958,https://t.co/8dR5F5q55I https://t.co/xyUMDwHkzV
672463916119683075,2015-12-03 17:14:26,35349,17603,https://t.co/wdVftjhwGK https://t.co/nNKIGnnLC0
672462943674433536,2015-12-03 17:10:34,18001,9730,https://t.co/wdVftjhwGK https://t.co/2kewmD8yih
659621307504443393,2015-10-29 06:42:29,10536,2563,Thank you to @OmniaLasVegas and #NobuCaesarsPalace for the birthday hospitality.
656285436223078400,2015-10-20 01:46:55,56688,41518,Hotline Bling Video out now. https://t.co/qgc76Se66y @AppleMusic https://t.co/ZrI6HKN1tL
645752916851032064,2015-09-21 00:14:27,39280,32396,"http://t.co/LQ9fwnILR9  ""What a time to be alive"""
645505796365676544,2015-09-20 07:52:29,31994,22696,OVO SOUND RADIO @ 6PM EST TODAY! 6TH EPISODE. MAWD TINGS. WHAT A TIME TO BE ALIVE.
626309606810128384,2015-07-29 08:33:41,138482,123533,https://t.co/jWMfEPxBqM
626304322981105664,2015-07-29 08:12:41,111181,111222,Scary hours.
619547581144821761,2015-07-10 16:43:48,81438,111938,FIXXXXXXX UP YOURSELF.
619529041993965568,2015-07-10 15:30:08,9866,6456,http://t.co/qZyz2ybsnh @1future Dirty Sprite 2 and I am on there!!! FBGOVO
619524091767353344,2015-07-10 15:10:28,13105,4954,That radio show you don't want to miss...Oliver vs Drake sound clash so you know I had to let exclusives ring off. No sound can test. AT ALL
614088005591150592,2015-06-25 15:09:24,16641,9579,Drake ~ Obey Your Thirst Documentary Episode 1 (Video): http://t.co/p9iYRtraH4
597325077718274048,2015-05-10 08:59:30,65349,68957,Views.
595721906936029185,2015-05-05 22:49:05,130590,160331,I like all my S's with two lines thru them shits.
590560771349807104,2015-04-21 17:00:34,26770,11875,If You're Reading This It's Too Late CD Now Available http://t.co/rLzzf5cvWm
587695700793667584,2015-04-13 19:15:48,15161,11343,DRAKE // JUNGLE TOUR // WITH FUTURE // 2015 http://t.co/Y6GydH8kZ6
581531517568073728,2015-03-27 19:01:32,6369,2817,http://t.co/bMvp0D6JsQ NOW LIVE
579055979993657345,2015-03-20 23:04:38,5824,3055,http://t.co/bMvp0D6JsQ
577879051718811649,2015-03-17 17:07:57,8661,3744,James Prince and I stand together on not supporting the Drake Homecoming footage in theatres. #protectingthefans
577857290985934848,2015-03-17 15:41:28,20287,10426,Here is the lineup for the entire weekend http://t.co/HdMSKCaJMI
577472057430003712,2015-03-16 14:10:42,12609,5986,The Drake Homecoming film is not something OVO or Drake have any part in. I feel it is my responsibility to inform and protect my fans.
574667176050835457,2015-03-08 20:25:06,14484,5044,Excited to be performing for the first time ever in Dubai on March 14th at the Dubai International Cricket Stadium
569026258845085696,2015-02-21 06:50:06,9781,3698,What do you want to hear on the New Zealand/Australia tour dates?
566386350182891522,2015-02-14 00:00:03,43484,23110,http://t.co/KcZooNtBY6 http://t.co/raFiw5dx4I
566085353400852480,2015-02-13 04:04:00,77342,87931,http://t.co/KcZooNLcPE http://t.co/s6krTAeuke
565859748579659777,2015-02-12 13:07:31,14506,12689,http://t.co/a0b67CTncU
565282564571938816,2015-02-10 22:54:00,22265,18029,PND ain't wit the ray tay tay.
565267415849000961,2015-02-10 21:53:48,6193,2658,Happy birthday to @UKCoachCalipari! Thank you for everything you have done for me. You are a RARE breed. GO CATS GO. #UKvsLSU
563995236188581888,2015-02-07 09:38:37,38614,38738,I hope one day you gain an understanding of how this goes...we wrote it in code then wrote it in stone. Suh it go.
563440233111646209,2015-02-05 20:53:14,22625,18659,*67
562294227569082370,2015-02-02 16:59:25,51672,75942,We gon see...
561164723035447296,2015-01-30 14:11:10,22778,8794,"Wireless, Coachella, and Gov Ball...Blessed."
561094302877491200,2015-01-30 09:31:21,40469,46652,way way way...blessings.
558505730932609024,2015-01-23 06:05:17,7917,3533,Congrats to my brother Kyle Lowry @Klow7 on making the All Star East!! Well deserved.
558502958287949825,2015-01-23 05:54:16,4012,2044,https://t.co/VbuS7XWUvr @chillygonzales
558143260829691905,2015-01-22 06:04:57,5203,1995,@VictoriaJustice on that wave. Love.
556797569578192896,2015-01-18 12:57:40,39341,28049,Rest in peace Yams. A$AP is family.
551326886383460352,2015-01-03 10:39:07,8592,4509,@JODYHiGHROLLER too epic mayne
549650672405475328,2014-12-29 19:38:26,6246,2981,I’ll be partying at @marqueelv this #NYE2015. http://t.co/yirvD4OrKU http://t.co/bCDz4NLgEf
546430385132146689,2014-12-20 22:22:10,3288,1315,@cathalkelly Actually this redesign was executed without me. My collaboration with Mitchell &amp; Ness comes out next season.
546130443675127808,2014-12-20 02:30:19,7275,5369,WOOWWWW James Johnson is LIT.
546129984394629120,2014-12-20 02:28:29,5796,2557,Hoping Landry is ok. #6Side #Raptors
546129880585617408,2014-12-20 02:28:04,3908,2878,And Big Science is teaching that formula...the beaker is bubbling. @Matt__Devlin dropping gems. Leo knows he wants to say Science.
546129167243558912,2014-12-20 02:25:14,5856,4731,Patterson going offffff.
546057956358651904,2014-12-19 21:42:16,1936,563,@Matt__Devlin I'm counting on you to stay so true to the Big Science movement tonight. Tell Jack I said stay waved up as per usual.
545284491770462208,2014-12-17 18:28:48,9017,4176,Drake Night tonight @Raptors vs. Brooklyn!!!
540128635332468736,2014-12-03 13:01:16,19543,16193,@MeekMill coming home was a great thing. We need that. Work ethic like none other.
540073724108476416,2014-12-03 09:23:04,2062,610,@GRySLS
540060637276016640,2014-12-03 08:31:04,119804,173783,I remember everything...juss know.
539980765094612994,2014-12-03 03:13:41,6584,5124,Hahahhahahaha  http://t.co/iXF1s4hF9B @4YallEnt too funny. 6 side.
