id,created_at,favorite_count,retweet_count,text
1321883004566982658,2020-10-29 18:34:02,15887,1392,“This will be the last package I ever send your ass” #MMLP20 Capsule Live - https://t.co/rniTC6KScx https://t.co/msjumcHPL1
1321838986906816513,2020-10-29 15:39:07,11512,1292,"Another safe way to vote! @MakeHistoryHere rallied with the @NBA, @MLB, @NFL, @NHL and @MLS to open up arenas and stadiums for safer voting - their site has all the info - https://t.co/MSn6jW2R9S https://t.co/y5Ys52zSi7"
1321136688329039872,2020-10-27 17:08:26,11220,1242,Paul wants to hear your bars but they better be good 💀 TRUST ME.  Hit up @rosenberg via the @audiomack  #STAMPED contest and learn more on their site - https://t.co/HJmqtXPenp https://t.co/JcZ3p0HkrP
1320851430912217088,2020-10-26 22:14:56,33088,4172,"""May I have your attention please?"" #MMLP20 capsule hits the store Thursday - sign up for first access. https://t.co/SmgPZjA341 https://t.co/I2wT6mdi5X"
1320501718430470144,2020-10-25 23:05:18,13646,1296,My concert DJ and cohort @Alchemist just dropped his new project The Food Villain - hit up ALC Records to pick it up! https://t.co/pmG6V7JyTh https://t.co/RCSLZLIKIL
1320050734059147265,2020-10-24 17:13:15,18727,1805,Hit your favorite record shop to get the all-NEW @recordstoreday exclusive My Name Is / Bad Guys Always Die 7” - their site has all participating stores https://t.co/kUvWXdkQFk https://t.co/siapCSqsLP
1319778754999296001,2020-10-23 23:12:30,16624,1751,"#DETROIT @WhenWeAllVote is making dropping off your ballot so easy tomorrow - free food, local dj’s and more at the ballot drop-off location at Henry Ford @DetroitPistons  Performance arena!  Hit the link for more info  https://t.co/A2x9BTdEAo https://t.co/7YaLzcmRlB"
1307524152459395075,2020-09-20 03:37:05,38764,5650,"Proud of Matt for writing this, everyone needs to use their platform to speak out. #BlackLivesMatter https://t.co/OiELMK1qM9"
1301909628163362818,2020-09-04 15:46:58,60302,7238,So happy to be a part of the sequel- @BigSean #Detroit2 #fridaynightcypher https://t.co/S4sge6wAqd https://t.co/Q83N1CXj5R
1296262014650798080,2020-08-20 01:45:22,28928,3181,Honored to be @YoungMAMusic’s first guest on her new radio show- check it out! @applemusic https://t.co/ve0lTS0gzn https://t.co/FmsenjCExf
1292652388294234112,2020-08-10 02:42:00,32914,3309,Vote for Sway! https://t.co/p4S36kWBlP
1291523154385539072,2020-08-06 23:54:50,33955,3962,"""This is just the song to go ballistic on"" 🦖 the soundtrack for #UFC4 just dropped - https://t.co/4yotS2c9Qt #Godzilla https://t.co/F0EuRyXSOY"
1282745478019518469,2020-07-13 18:35:28,43939,7276,"“Fuck's going on, man?” @KidCudi  #TheAdventuresOfMoonManAndSlimShady stream now - https://t.co/z1uAjXEs6f https://t.co/XoF9zrtuVe"
1282047472387403776,2020-07-11 20:21:51,27701,2729,"Me and moon man got vinyl, cassettes and merch for our collab @kidcudi - https://t.co/0end22ERri https://t.co/qN2wNcDrN4"
1281612896305393664,2020-07-10 15:35:00,40515,8248,Hazmat suit rap @KidCudi  #TheAdventuresOfMoonManAndSlimShady stream now - https://t.co/j6BTJG56uA https://t.co/b3szeequnt
1281292119806636034,2020-07-09 18:20:21,133026,24233,Me and Moon Man @KidCudi got something coming tonight! https://t.co/qESgJbdYLK
1275944530257358848,2020-06-25 00:10:56,48830,4762,In response to @revolttv... https://t.co/XrFJi2BZDy
1275438932046430208,2020-06-23 14:41:52,23822,3157,STOP HAVING A BORING LIFE! 💥💿💥Revisit the #EmWow with @realvinceoffer video on the site - https://t.co/NXTYVvEaGA #RECOVERY10 https://t.co/PHuEEWgkoY
1275191109300477952,2020-06-22 22:17:07,31188,4692,#NotAfraid #Recovery10 Hit the store for limited 24-hr 10th anniversary merch - https://t.co/NXTYVvVM5a https://t.co/HCICessshA
1275145853179658245,2020-06-22 19:17:17,22876,2423,Really happy and lucky to have @Royceda59 on board with the #MarshallMathersFoundation to help us reach new goals. Read more on the site. https://t.co/biVUFjGPUF https://t.co/TqvSAkqm0O
1273778924036796417,2020-06-19 00:45:35,83662,15096,"""Music is my time machine"" ⚡️️#RECOVERY10 more coming Monday! https://t.co/pZPVA2yOpU"
1272018974151266306,2020-06-14 04:12:11,29125,3734,"@NoLifeShaq Plus redman, LL, nas, joyner, kendrick, cole, andre, rakim, kane..."
1272018579609849856,2020-06-14 04:10:36,29173,4478,"@NoLifeShaq For me, in no particular order... Toss up between wayne, pac, royce, jay, redman, treach, g. rap, biggie &amp; king crook...."
1266911177688350723,2020-05-31 01:55:37,69435,10550,I’m with @killermike on this one. Incredibly well done.  https://t.co/zeTQYqyk9H
1266869656532520961,2020-05-30 23:10:38,14901,1630,Unity in Detroit is more important than ever. #EverybodyVsCovid19 tune in to @cityofdetroit now - https://t.co/aXf0ck66JS https://t.co/RySppEQnhY
