id,created_at,favorite_count,retweet_count,text
1323697464239513600,2020-11-03 18:44:03,30480,1295,¡Yo voté! ❤️🤍💙 ¡Vamos America! #Vote #LetsGetLoud #BidenHarris2020 https://t.co/IVPWKV1vEs
1323668483096281088,2020-11-03 16:48:53,3953,330,V-O-T-E 👏 Today is the day. 🗳 You know what to do! #LetsGetLoud @Coach #CoachTheVote #CoachPartner https://t.co/8fMSIpYG8q https://t.co/LyuipDDct4
1322988483477057536,2020-11-01 19:46:49,7384,276,Hope everyone had a #HappyHalloween !!! @AROD https://t.co/bfHAbKEBgL
1322988323736936449,2020-11-01 19:46:10,7153,382,I made it through the wilderness ... 👰🏽💋 #HappyHalloween 🎃👻 https://t.co/miLOcp5EpM
1322988121173078016,2020-11-01 19:45:22,15322,506,Didn’t know how lost I was until I found you ... @arod 👰🏽💋 #HappyHalloween 🎃👻 https://t.co/0Q6uSmcMIe
1322987946031476736,2020-11-01 19:44:40,13817,647,Crazy for youuuu ... 👰🏽💋 #HappyHalloween 🎃 https://t.co/5bMn9hUKQP
1321988169802416128,2020-10-30 01:31:55,3827,215,💕 Look at them look at us... 💕 @dsw_us #JLoJenniferLopez 📸: #lacarba https://t.co/O5Tp72Wzsh https://t.co/PmapLIoeJq
1321979609529819142,2020-10-30 00:57:54,201,15,@aliciakeys @AmericaFerrera @kerrywashington @common @EvaLongoria @WValderrama @tanfrance @GlblCtzn Let’s get it!!!! #EveryVoteCounts
1321974789687238658,2020-10-30 00:38:45,1065,84,Let’s get proud too!! @ProjectPulso https://t.co/A7TxgSChhH
1321963024761061377,2020-10-29 23:52:00,1134,127,Tonight is the night! Join me and some special friends for #EveryVoteCounts at 6pm PT / 9pm ET with @GlblCtzn on @CBS. Check out https://t.co/FA5V45U7Km to find out how you can watch.
1321961343499423744,2020-10-29 23:45:19,1190,87,See you tonight! #EveryVoteCounts https://t.co/ZO6011tgKG
1321559838216712192,2020-10-28 21:09:53,1239,113,We cannot wait for everyone to see @MarryMeMovie! @egt239  @maluma #NuyoricanProductions @Variety #PowerOfWomen https://t.co/VujA66K1wb
1321555561213693952,2020-10-28 20:52:53,1908,126,.@egt239... so grateful to have you as my partner and BFF for more than 20 years. Idk what I would do without your special soul. 💕✨👯‍♀️ Here’s a clip from our @variety #PowerOfWomen conversation. https://t.co/gp4qh6XMOf
1321539288568221696,2020-10-28 19:48:14,979,79,I'm on with @egt239 in 10 minutes! @Variety #PowerOfWomen https://t.co/rmG6AR7bnG
1321495083586236418,2020-10-28 16:52:34,933,58,Obsessed with these! 💆‍♀️ #HersPartner @wearehers https://t.co/Jz5dCEMSAR
1321317118642540544,2020-10-28 05:05:24,5533,239,CONGRATULATIONS LA DODGERS!!! https://t.co/UJBHBfXwhe
1321284771092131840,2020-10-28 02:56:52,11351,356,It’s a @Dior kind of day ✨ https://t.co/C7TF9Smsf8
1321229115383373824,2020-10-27 23:15:43,17918,419,🎄⛄️🎁 #CoachFamily @Coach https://t.co/6OYSCQ5ODX
1321228919643648001,2020-10-27 23:14:56,9436,378,.@Coach holiday shoot vibes ⛄️🎄🎁 https://t.co/q7Xb1SvTVp
1321170818714402816,2020-10-27 19:24:04,1364,145,This is going to be fun!!! 👰🤵✨ #ShotgunWedding @armiehammer @egt239 #NuyoricanProductions https://t.co/0uG6FRzWuG
1321151356200243202,2020-10-27 18:06:43,2641,187,Holidays with @Coach. 🎄 I find holiday on my coconuts’ faces (my mama’s too—she's the biggest holiday person I know! 🥰). Thankful to share this season and #CoachHoliday with my favorite people. #TheBeatBag #CoachFamily #CoachNY #CoachPartner Shop now: https://t.co/O2s6LmI3R4 https://t.co/aVjsFWVSd1
1320810911796375552,2020-10-26 19:33:55,8845,374,Hello Monday!!! Ready for action!! Here’s a closeup of my fave @dsw_us boots. #JLoJenniferLopez https://t.co/mXFVrx3TLU https://t.co/riSiQ7fS9o
1320206969303543810,2020-10-25 03:34:04,16363,570,Voting is always in style ✨ @Coach #MyCoconuts https://t.co/tWoTb88iZZ
1320137676993998849,2020-10-24 22:58:43,4629,362,"I am voting for Max and Emme’s future.
TRUTH over lies.
UNITY over division.
SCIENCE over fiction.
HOPE over fear.

The world is waiting for YOU! Your leadership. Get out and vote like you’ve never voted before!! Your voice matters. ♥️🗳 #LetsGetLoud #LetsGetProud #WhenWeAllVote"
1320137675156979713,2020-10-24 22:58:43,24319,1216,This election is too important. It’s about more than just politics... it’s about the character of our country. It’s about decency and doing what is right for all people. https://t.co/OgMx3Z3gc9
1319703686336139264,2020-10-23 18:14:12,6253,360,OMG you guys!!!! You’re all killing the #PaTiChallenge. I could watch these for hours. 🤩 Keep em’ coming!!!! 💋💋💋#FanFriday #PaTi @maluma https://t.co/oq6WBxc6bh
1319394302028492801,2020-10-22 21:44:49,1194,87,Can’t wait! @egt239 https://t.co/FRBgbUasrn
1319329798934597633,2020-10-22 17:28:30,1884,119,That was so fun! 😘😘 https://t.co/rGXvnOr0tQ
1319131775860240384,2020-10-22 04:21:38,484,52,@MLBONFOX @DavidOritz @AROD .@arod not going on world of dance. #WorldSeries  @MLBONFOX @FS1 @davidortiz @TheBigHurt_35 @kevinburkhardt @DTrainMLB
1318963229314437122,2020-10-21 17:11:53,3336,299,"Forever proud of where I came from. I will never try to hide that. It’s in my blood, it gives me my fire.🔥¡Únete a mí y @maluma para una experiencia virtual! 🇵🇷 
#BillboardLatinWeek @billboardlatin @billboard  @MarryMeMovie #NuyoricanProductions Full vid: https://t.co/bHGv4759uc https://t.co/3ti33lGwqJ"
1318599285882191874,2020-10-20 17:05:42,629,67,This combo is EVERYTHING. #HersPartner @wearehers https://t.co/BsdYhdR5Fl
1318599281775960064,2020-10-20 17:05:41,3784,256,Good hair. Good mood. Good day. 🧖🏼‍♀️ A little sneak peak into my hair care routine.  #HersPartner @wearehers https://t.co/AJP4MqIPNY https://t.co/Wd7x3SJqKz
1318554122245767169,2020-10-20 14:06:14,4038,225,Happy #InternationalSlothDay!!! Emme’s favorite holiday! 🥰#SlothDay @SlothCon 🦥 https://t.co/7undMuD1nR https://t.co/eAFp6cgfJf
1317546728086630401,2020-10-17 19:23:13,7815,436,The new @Arod 696’s are coming soon!  https://t.co/qdeJ5tYEdP https://t.co/T9PRopKLCz
1317178785536593927,2020-10-16 19:01:09,15490,767,"Fall, flannels and family. 🍂🤎 @dsw_us https://t.co/KB83AtJglS https://t.co/wPZwuuQSZT"
1317118348602318849,2020-10-16 15:00:59,1294,280,"✊🏼📣🇺🇸🇵🇷 To my Latinos, we’re more powerful together... join me in getting loud. Your voice is your vote! What is your voting plan? https://t.co/rMmx9LAnde"
1317118100844797952,2020-10-16 15:00:00,5510,1258,"Para mis compañeros Latinos, juntos somos mas poderosos....Únete a mí para hacer ruido. ¡Tu voz es tu voto! ¿Cuál es tu plan de votación? https://t.co/rMmx9LAnde ✊🏼📣🇺🇸🇵🇷 #LetsGetLoud @JoeBiden @DrBiden https://t.co/R7mTrXvCl2"
1316804318146654208,2020-10-15 18:13:09,13280,719,✨✨ @Billboard BTS ✨✨ @MarryMeMovie @maluma #MarryMeMovie https://t.co/QdDspBEAKV
1316804230825402368,2020-10-15 18:12:48,4194,284,✨✨ @Billboard BTS ✨✨ @MarryMeMovie @maluma #MarryMeMovie https://t.co/ighKIfOvxi
1316797232914460672,2020-10-15 17:44:59,6723,621,"GOOD MORNING ☀️ EVERYBODY 
Billboard cover JLo x Maluma 

@Billboard #BillboardMagazine @MarryMeMovie #MarryMe #NuyoricanProductions #PaTiLonely #LatinPowerPlayers @Maluma https://t.co/Z9NLUYOQbg"
1315688223469834240,2020-10-12 16:18:11,19752,1160,✨Flashback to @Balmain Spring 2021 ✨ #ParisFashionWeek @ORousteing @robzangardi @MARIELhaenn #daniellepriano 📸: @AnaCarba15 https://t.co/NNRE1nrCId
1314268097881223171,2020-10-08 18:15:07,5944,487,"#TBT ✨ One year ago I made myself a Promise... to love who I am and believe in my dreams no matter what came my way.... Have you kept your Promise? 🌱🌺

Try my latest fragrance PROMISE: https://t.co/aPH4xY6hR5!!! #WhatsYourPromise https://t.co/5GXsH1nUHo"
1313685617859993600,2020-10-07 03:40:33,3698,388,Top 10 first week!!! #PaTiLonely @maluma @billboard https://t.co/KM5LFSgcUE
1313535719399284736,2020-10-06 17:44:54,2758,330,Thanks to our fans and for making #PaTi @MTV's most wanted video this week! @maluma #PaTiLonely https://t.co/LV7gHgIt90
1313153310443143169,2020-10-05 16:25:21,7986,426,Monday mornings have never been sweeter. ☕️ 🤎 I chose to invest in @DRINKSUPERCO because I believe that Positive Energy ⚡️✨ creates Positive Change. #ChoosePositiveEnergy #SuperCoffeePartner https://t.co/gmdz28bAGc
1312897637222412290,2020-10-04 23:29:23,15662,602,Sun Daze 🎃🧡🌅 https://t.co/dPqsMYT09v
1312565741980319744,2020-10-04 01:30:33,151,15,@stejlover I love you all!
1312562649389961216,2020-10-04 01:18:16,127,9,@jlosreign Miss you all so much 😘
1312562557752803328,2020-10-04 01:17:54,46,2,@jasonengel50 Hi!!!!!
1312562514748530688,2020-10-04 01:17:44,56,3,@clara_jlo50 What’s your fave part?
1312562472671305728,2020-10-04 01:17:34,122,4,@JLoCharts 🥰
1312562297487859712,2020-10-04 01:16:52,119,7,@jlowpride The cell!
1312562244819939328,2020-10-04 01:16:40,67,2,@JloverLimitless 😘
1312562138775343104,2020-10-04 01:16:14,67,2,@jlomymedicine Luv yah!
1312562079249776641,2020-10-04 01:16:00,73,4,@jloverbby Good baby! Enjoy!
