id,created_at,favorite_count,retweet_count,text
1.322E+18,30-10-2020 02:10,4416,125,"Don't forget to register, to vote!"
1.32088E+18,26-10-2020 23:55,7598,295,❤️
1.30782E+18,20-09-2020 22:58,12293,432,Emmys prep... in my OTHER mask 😷🥂 https://t.co/GNkmiSt4TF
1.27835E+18,01-07-2020 15:46,2572,219,"And it really shouldn't be a debate 🙏🏼 ⠀
⠀
If you care about human life, please... just #wearadamnmask 😷 and encourage those around you to do the same ❤️"
1.27835E+18,01-07-2020 15:45,2273,139,"to take the necessary steps to flatten the curve, and keep each other safe. People seem worried about their “rights being taken away” by being asked to wear a mask. This simple and effective recommendation is being politicized at the expense of peoples' lives."
1.27835E+18,01-07-2020 15:45,984,53,"health care workers are hitting absolute exhaustion. And so many lives have been taken by this virus because we aren't doing enough. ⠀
⠀
I really do believe in the basic goodness of people so I know we can all do this 🥰 BUT still, there are many people in our country refusing"
1.27835E+18,01-07-2020 15:42,15654,1294,I understand masks are inconvenient and uncomfortable. But don't you feel that it's worse that businesses are shutting down... jobs are being lost.. https://t.co/8uFRdBckub
1.26584E+18,28-05-2020 02:42,13315,679,Stay safe everyone! ❤️
1.25851E+18,07-05-2020 21:33,21522,2598,"Dear Covid...⁣
You can kindly F@!k off now thank you BYE 👋🏼🖕🏼☹️ TBT https://t.co/hrvhYmk0YG"
1.24678E+18,05-04-2020 12:57,3985,233,Please stay home everyone!! https://t.co/XW0VWkGlOY
1.24629E+18,04-04-2020 04:09,16027,769,https://t.co/2R0zwxL0lN
1.24469E+18,30-03-2020 18:26,1600,35,@FriendsTV 😂😂😂
1.24426E+18,29-03-2020 13:43,12315,420,https://t.co/3UbSSrpD2F
1.24397E+18,28-03-2020 18:42,14417,564,https://t.co/9fuk3lSqhh
1.24397E+18,28-03-2020 18:40,6737,517,#StayHome ❤️
1.24389E+18,28-03-2020 13:06,14115,606,"Hi everyone, hope you're all doing well ❤️"
1.24213E+18,23-03-2020 16:55,6230,267,❤️
1.24138E+18,21-03-2020 15:17,9444,719,"We'll get through this, everyone please stay safe! Wash your hands constantly!"
1.23815E+18,12-03-2020 17:12,9305,628,Be safe everyone!
1.23493E+18,03-03-2020 20:12,9489,351,https://t.co/HBMwhS7jGs
1.23493E+18,03-03-2020 20:10,4404,143,Alrighty then..
1.23103E+18,22-02-2020 01:30,2050,71,@hbomax @FriendsTV @MatthewPerry @CourteneyCox @Matt_LeBlanc https://t.co/iIwUnyjANd
1.23103E+18,22-02-2020 01:25,34014,5829,It's happening... https://t.co/UuPAHhVHZr
1.2302E+18,19-02-2020 18:24,10932,397,https://t.co/VfOdy2nuFj
1.23019E+18,19-02-2020 18:17,1213,24,@FriendsTV 😂😂😂
1.23016E+18,19-02-2020 16:07,7193,207,https://t.co/MnUz6gX4Ev
1.23016E+18,19-02-2020 15:59,6598,147,Good morning everyone x
1.22814E+18,14-02-2020 02:00,14634,601,https://t.co/DGXd1DEd2H
1.22536E+18,06-02-2020 09:54,827,13,@selenagomez @Sephora Wow how exciting !
1.22369E+18,01-02-2020 19:44,6043,253,So blessed ❤️
1.22186E+18,27-01-2020 18:31,2064,36,@MatthewPerry RIP.
1.2217E+18,27-01-2020 07:27,581,20,@AdamSandler @kobebryant ❤️
1.22155E+18,26-01-2020 22:00,6975,299,So devastated to hear about @kobebryant .💔Sending love &amp; prayers to his family.
1.21975E+18,21-01-2020 22:32,13636,591,❤️ https://t.co/Mr6nsumBap
1.2196E+18,21-01-2020 12:34,8165,320,"No wrinkles... harder than it looks! Somewhere between these two photos, my peers gave me a gift I will cherish and a night I will never forget. Thank you @SAGawards, @TheMorningShow, and our incredible cast and crew. Let's get back to work! https://t.co/KBLZcndx7e"
1.21893E+18,19-01-2020 16:01,10461,564,https://t.co/JewNnaofDd
1.21893E+18,19-01-2020 16:00,723,17,@FriendsTV 😂😂😂
1.21746E+18,15-01-2020 14:55,8392,263,https://t.co/POkQCxXkdD
1.21657E+18,13-01-2020 04:07,17293,1570,Hi from the girls across the hall 👋🏼 @LisaKudrow @CourteneyCox https://t.co/1h5wVkiIQ4
1.2145E+18,07-01-2020 10:53,11382,467,#GoldenGlobes  after party 🎉 https://t.co/TC3BiCerf7
1.21389E+18,05-01-2020 18:10,3192,240,https://t.co/5NpmCIP0Rp
1.21297E+18,03-01-2020 05:35,6800,596,😂 @DavidSchwimmer https://t.co/puEvLLqu9F
1.21269E+18,02-01-2020 10:51,12412,1288,Is anyone else sad @netflix took off @FriendsTV 💔
1.21238E+18,01-01-2020 14:28,7319,690,Happy New Year everyone! Be safe xo https://t.co/SeO51cgE4C
1.21163E+18,30-12-2019 12:34,4017,242,https://t.co/M5YYLBJ40t
1.21082E+18,28-12-2019 07:07,5986,350,https://t.co/c4PmKs6I5e
1.2099E+18,25-12-2019 18:07,730,11,@FriendsTV 😂😂
1.2099E+18,25-12-2019 18:07,6022,393,Merry Christmas everyone! have a blessed and safe day with family and friends! xo https://t.co/GnlO13IqC5
1.2097E+18,25-12-2019 04:43,6335,577,Merry Christmas Eve everyone! https://t.co/6DVPFG1ZPS
1.20918E+18,23-12-2019 18:22,901,36,@FriendsTV 😂😂
1.20909E+18,23-12-2019 12:38,6529,1315,https://t.co/ssOQllEa5r
1.20886E+18,22-12-2019 21:20,3102,89,https://t.co/6pkwbesbFN
1.20825E+18,21-12-2019 04:54,438,12,@ReeseW @TheMorningShow ❤️❤️❤️❤️
1.20761E+18,19-12-2019 10:32,4069,168,https://t.co/uHEuHBc2fX
1.2065E+18,16-12-2019 09:11,7997,313,https://t.co/pqguOGK4zB
1.20602E+18,15-12-2019 01:07,10040,439,https://t.co/27jsl1Wit9
1.20491E+18,12-12-2019 00:00,7533,310,https://t.co/xkFw6OMvO0
1.20491E+18,11-12-2019 23:54,6434,338,https://t.co/NCYyRxjBtu
1.20272E+18,05-12-2019 22:54,4163,141,Thank you @people for putting me in such great company 🙏🏼 @JLo @MichelleObama @taylorswift13 OH MY....! Also... hey @aveenous! 👋🏼😉 https://t.co/uXqJeJG4jx
1.20272E+18,05-12-2019 22:28,6208,451,"Wow, beautiful art ❤️ https://t.co/8C7Xzn3j9n"
1.20244E+18,05-12-2019 04:20,6065,354,https://t.co/JHRlfFCuVB
1.20065E+18,30-11-2019 05:23,6121,504,Be thankful for everything you have everyday! ❤️
1.20031E+18,29-11-2019 06:53,5663,198,"Ok, @jimmykimmel... here are your f*%king Friendsgiving enchiladas. https://t.co/3uk1yFRzeA"
1.20015E+18,28-11-2019 20:29,5728,517,xo https://t.co/Ta6qy0QryR
1.19984E+18,28-11-2019 00:11,5035,123,Considering Mexican food tonight 🤔
1.19901E+18,25-11-2019 17:03,11644,435,Happy Monday loves ❤️ https://t.co/3kPrggdhfX
1.19886E+18,25-11-2019 07:06,4224,165,Love the holidays ❤️
1.19697E+18,20-11-2019 01:47,5112,387,Change is good!
1.19596E+18,17-11-2019 07:10,4517,133,😊
1.1924E+18,07-11-2019 11:10,6106,166,https://t.co/rKhHDdFQHZ
1.1918E+18,05-11-2019 19:46,6572,204,Jen in black https://t.co/3ezjwkclbV
1.19075E+18,02-11-2019 21:55,5819,161,Happy Saturday everyone! ❤️
1.18843E+18,27-10-2019 12:30,11848,400,goodmorning 💕✨ https://t.co/zMQ42qqnHw
1.18818E+18,26-10-2019 19:54,5245,362,❤️ https://t.co/ME0klVtBrQ
1.18722E+18,24-10-2019 04:00,4802,380,https://t.co/ca4eOzclQl
1.18715E+18,23-10-2019 23:28,2961,177,https://t.co/1Rv8W6ucjW
1.18712E+18,23-10-2019 21:52,2738,78,😍✨
1.18688E+18,23-10-2019 05:39,605,18,@selenagomez ❤️
1.18686E+18,23-10-2019 04:32,1185,59,Going to have to watch this! https://t.co/SnYMM5fXdL
1.18636E+18,21-10-2019 19:30,8020,375,"I'm just a girl....standing with hair and makeup. A stylist. A photographer. A lighting crew, wind machine, props, and a computer .... asking you to think I woke up like this. 😬😑 https://t.co/i1IlrENLxW"
1.18632E+18,21-10-2019 16:34,3218,120,https://t.co/CfksUdChxg
1.18561E+18,19-10-2019 17:26,520,17,@selenagomez 😊😊
1.1854E+18,19-10-2019 03:20,13531,1230,❤️ https://t.co/1A67YBiWCt
1.18539E+18,19-10-2019 03:16,3580,209,Count me in! https://t.co/h1GuW9m8ni
1.18539E+18,19-10-2019 03:16,307,8,@selenagomez ❤️😍
1.18523E+18,18-10-2019 16:25,5100,200,HAPPY FRIDAY EVERYONE ❤️
1.18499E+18,18-10-2019 00:47,3955,156,"It's ALMOST Friday everyone! 
Hang in there! ☺️"
1.1849E+18,17-10-2019 18:51,8023,361,"#TBT In style, then and now... https://t.co/JHJEY56Gc4"
1.18463E+18,17-10-2019 00:56,1452,39,Jimmy Kimmel Live 🎥
1.18457E+18,16-10-2019 20:28,7267,256,https://t.co/eILDDMAVOU
1.18453E+18,16-10-2019 18:20,5449,204,Hope everyone has a wonderful Wednesday ❤️
1.18436E+18,16-10-2019 06:28,8081,252,https://t.co/MjKxRRicGY
1.18427E+18,16-10-2019 00:56,4131,242,They don't have to # me anymore https://t.co/VhkSVkzlQu
1.18427E+18,16-10-2019 00:51,19124,1744,And now we're Instagram FRIENDS too. HI 👋🏻 https://t.co/z3PBhBARA4
1.18415E+18,15-10-2019 16:57,70,2,@Nina_Dattebayo @GwennGallon I’ll
1.18234E+18,10-10-2019 17:06,505,16,@FriendsTV ❤️❤️
1.18234E+18,10-10-2019 17:06,6985,272,https://t.co/hzFphjZoUs
1.1816E+18,08-10-2019 15:51,3606,112,Have a good Tuesday everyone! ❤️
1.18079E+18,06-10-2019 10:27,28669,2709,❤️ https://t.co/GBsBGPzPF3
1.18053E+18,05-10-2019 16:54,1940,37,Saturday already!
1.17832E+18,29-09-2019 14:37,2093,71,https://t.co/UmXmvNxWAQ
1.17772E+18,27-09-2019 22:52,3480,123,Happy Friday everyone ❤️ https://t.co/wfNg8NHxnV
1.17735E+18,26-09-2019 22:17,2181,109,Woooww! https://t.co/u4ljk2dd5x
1.17726E+18,26-09-2019 16:26,2651,124,https://t.co/BoNgN9MMGE
1.1771E+18,26-09-2019 06:13,2323,108,https://t.co/mo6q7LVsmR
1.1771E+18,26-09-2019 06:11,4328,202,https://t.co/THglQgfYi3
1.17671E+18,25-09-2019 03:53,3302,192,#FRIENDS25 ❤️ https://t.co/sFcgtYaGVm
1.17598E+18,23-09-2019 03:49,5724,405,#FRIENDS25 🥰 https://t.co/4Lcpry6Y7p
1.17587E+18,22-09-2019 20:49,1387,39,@LisaKudrow @davidcrane @CourteneyCox @Matt_LeBlanc @MatthewPerry @DavidSchwimmer Happy 25th anniversary!
1.1758E+18,22-09-2019 15:52,4977,694,Today marks 25 years since the first episode of friends aired! #FRIENDS25 ❤️ https://t.co/Bb6NITWgiR
1.1758E+18,22-09-2019 15:44,2606,207,#FRIENDS25 https://t.co/BQfIxZRlq5
1.1758E+18,22-09-2019 15:39,2147,172,#FRIENDS25 https://t.co/jFg7iuVlzo
1.1758E+18,22-09-2019 15:37,5476,537,#FRIENDS25 ❤️ https://t.co/PqMw4wpPk9
1.1758E+18,22-09-2019 15:33,3267,298,"Today, #FRIENDS25 ❤️ https://t.co/qpwu1LTim2"
1.17579E+18,22-09-2019 15:32,1016,53,Amazing work gentlemen #FRIENDS25 https://t.co/JInsD7oMo2
1.17579E+18,22-09-2019 15:30,77,2,@jonasbrothers @FriendsTV This is amazing! #FRIENDS25 ❤️
1.17564E+18,22-09-2019 05:01,2122,94,Wow! https://t.co/AHxBVSz4Bk
1.17564E+18,22-09-2019 05:00,3752,131,https://t.co/BjNszWyyLf
1.17542E+18,21-09-2019 14:40,3112,90,"Hope everyone enjoys their Saturday, I know I will 😉"
1.17542E+18,21-09-2019 14:39,3481,106,https://t.co/aNCMV7pMTa
1.17384E+18,17-09-2019 06:21,5636,232,https://t.co/Dc1yYmcCb4
1.17056E+18,08-09-2019 04:57,4935,281,https://t.co/0SKyP5D5jq
1.17025E+18,07-09-2019 08:12,327,6,@FriendsTV @cwlegacies 🥰🥰
1.16352E+18,19-08-2019 18:54,2347,126,Happy Birthday! https://t.co/KCKC5xYzCS https://t.co/RJcBkqqOCp
1.16352E+18,19-08-2019 18:44,4265,157,https://t.co/CrEGTMA3Up
1.16312E+18,18-08-2019 15:51,4578,165,https://t.co/WlpCWacKbF
1.15872E+18,06-08-2019 12:41,3596,116,Good morning 😊❤️
