id,created_at,favorite_count,retweet_count,text
1323845061906452480,2020-11-04 04:30:33,20182,763,https://t.co/NGHVzXma99
1323779592625160193,2020-11-04 00:10:24,46982,1161,"I VOTED!!!! Did you?!?! 

If you are in line when the hours of operation close at the polls, they are required to stay open and allow you to vote, so do not get out of line. https://t.co/QXsU4JPdCw"
1323663028169150466,2020-11-03 16:27:13,2480,110,"Before you show up to the polls, know your rights. @WhenWeAllVote and @866OURVOTE are here to help. https://t.co/BLZ7EU0PKL"
1323662710089961480,2020-11-03 16:25:57,1940,115,Text VOTE to 56005 to find your polling place NOW. Make sure to bring your #VotingSquad to the polls with you! https://t.co/w2lA1qqOcu
1323649508677283841,2020-11-03 15:33:29,19028,319,🎂 https://t.co/9PQSQTRIQn
1323627062528073728,2020-11-03 14:04:18,75306,1618,My baby Kenny! I was 16 years old here &amp; you weren’t even a year old. I can’t believe you’re 25 yrs old now. I always couldn’t wait to see what you would grow up to be like! LOL you were always my baby Kenny doll! Happy Birthday to the coolest and prettiest girl I know! 🌳🌳🌳 https://t.co/a1wwRGkoHT
1323625155499679744,2020-11-03 13:56:43,6564,1474,"Before you show up to the polls, know your rights. @WhenWeAllVote and @866OURVOTE are here to help. https://t.co/FE0xnrDXte"
1323411132846010368,2020-11-02 23:46:16,77997,2901,Spiders 🕷 Halloween 2020 🕷#OvercomingMyFears https://t.co/tzDbGoIXNl
1323310018368839682,2020-11-02 17:04:28,1421,38,"The limited edition candle will be available on my mom’s birthday, 11.05 at 12PM PT, exclusively at https://t.co/tbQezJJIwC #KKWxKRIS"
1323310016594665475,2020-11-02 17:04:28,6022,178,"I’m so excited to introduce the new KKW X KRIS candle, a beautiful scent for the home inspired by our best selling @KKWFRAGRANCE collaboration that we launched earlier this year. The gorgeous scent really fills a room and is designed to compliment any home. https://t.co/KPfRbWxZdT"
1323262091571154944,2020-11-02 13:54:02,2887,243,"Election Day is TOMORROW!! #WhenWeAllVote, we make sure no one is left behind. So if you haven’t voted yet, get your #VotingSquad NOW and make a plan to vote Tuesday. @WhenWeAllVote can help you find your polling place at https://t.co/26QfLHR7Pj. https://t.co/0LtRE02oz2"
1323257203587977218,2020-11-02 13:34:36,27211,473,🚲 https://t.co/THEnEXsHqe
1323257180800327680,2020-11-02 13:34:31,72268,1587,🚲 https://t.co/LNGiPUxYF9
1323257145656254464,2020-11-02 13:34:23,38449,747,🚲 https://t.co/JcYo2fs4gL
1323085971802513409,2020-11-02 02:14:12,1735,87,Haven’t voted yet? @WhenWeAllVote is ready to help you make a plan to vote RIGHT NOW→ https://t.co/26QfLHR7Pj https://t.co/m6S4C0k7rB
1323068035058397184,2020-11-02 01:02:55,14639,177,🤍 https://t.co/WzDdNrcSYv
1323047386458038279,2020-11-01 23:40:52,74036,1130,☀️ Sunrise Crew ☀️ https://t.co/hiiYK3LIOg
1323047361455759364,2020-11-01 23:40:46,39159,622,☀️ Sunrise Crew ☀️ https://t.co/CidgiKR6gl
1323047341360906243,2020-11-01 23:40:41,16623,304,☀️ Sunrise Crew ☀️ https://t.co/YZvhmbV1ZK
1323047313405857794,2020-11-01 23:40:35,22324,499,Not done yet! ☀️ Sunrise Crew ☀️ https://t.co/kJo2zzF5i4
1323006227979378688,2020-11-01 20:57:19,6826,108,Happy Birthday @NoemyeWest 🎈
1322782058624659456,2020-11-01 06:06:33,70538,2598,A @BALENCIAGA Halloween https://t.co/gXpGVButiT
1322649004883144704,2020-10-31 21:17:51,8723,113,🤍🤍🤍 https://t.co/nL23KELYig
1322639277180686336,2020-10-31 20:39:11,7294,144,Go to my IG stories to see my Halloween decorations. Slowly but surely getting over my fear of 🕷 🕷🕷
1322621993380945924,2020-10-31 19:30:31,8382,139,Just posted our Halloween 2020 decorations 🕷🕷🕷 Go to my Instagram Reels for the full walkthrough
1322586894174048256,2020-10-31 17:11:02,66138,1911,U WON HALLOWEEN!!! https://t.co/srh5iTzvmj
1322523786239897603,2020-10-31 13:00:16,148936,6391,Soooo good!!! https://t.co/rmpmWko375
1322523716224348160,2020-10-31 12:59:59,50925,3930,OMG THE BEST!!!!!!! https://t.co/IqoDB6k9BC
1322268024649342976,2020-10-30 20:03:58,67563,1587,🌊 https://t.co/fNADkPQgTl
1322267899763961856,2020-10-30 20:03:28,64415,2387,🌊 https://t.co/eJifPRYMef
1322169249683501056,2020-10-30 13:31:28,117321,5328,"Carole Baskin, Joe Exotic and our tigers 🐅 #Halloween2020 https://t.co/eYl2fZsyN3"
1321979993992404994,2020-10-30 00:59:26,2626,48,So many board games!! https://t.co/vNm5f18Ueg
1321979828942311429,2020-10-30 00:58:47,2272,48,Ace is the cutest 🥰 @ForeverMalika #KUWTK
1321979279928922115,2020-10-30 00:56:36,4280,69,My mom &amp; MJ bonding time during quarantine is so cute
1321977291975626752,2020-10-30 00:48:42,10440,139,My mom is so cute for getting us all together on a zoom lunch during quarantine
1321976798398369793,2020-10-30 00:46:44,2617,140,BIG FACTS https://t.co/1YjI5HUC9B
1321976189079162880,2020-10-30 00:44:19,16,0,@twileezy It was so hard at first but we figured it out 🙏🏼
1321975511942369282,2020-10-30 00:41:37,10284,258,I remember when Kanye and Khloé was tested positive for covid. So scary to hear #KUWTK
1321974176027152384,2020-10-30 00:36:19,2868,52,Bonding time with the kids 🤍 #KUWTK
1321973410843496448,2020-10-30 00:33:16,54,4,@planetKourt Have a good night!
1321973079686418433,2020-10-30 00:31:57,1653,37,I hope you have the best vacation ✨ https://t.co/yWJ1jDj9bL
1321972384652546048,2020-10-30 00:29:12,4225,90,We were so terrified for Khloé 😔 #KUWTK
1321971568092786688,2020-10-30 00:25:57,29,2,@itsKELSEYtho FACTS
1321970667424808960,2020-10-30 00:22:22,1404,29,🤣🤣 https://t.co/FwPbYzIsZ6
1321969680760872960,2020-10-30 00:18:27,1303,30,I did a few times! https://t.co/EsQO5LNgC3
1321969281681207296,2020-10-30 00:16:52,1192,27,It was hard in the beginning but our film crew guided us through it all ✨ https://t.co/tiWKyDa6BI
1321968698014531584,2020-10-30 00:14:33,19375,327,Did you guys ever imagine us filming on iPhones?
1321967818527674368,2020-10-30 00:11:03,1089,27,Yes! https://t.co/pcDq85jLWc
1321967275151396864,2020-10-30 00:08:54,2684,72,The thought of a lockdown terrified me #KUWTK
1321964221261881349,2020-10-29 23:56:45,4018,78,I’m here early! I can’t wait to live tweet with you guys tonight ✨
1321963982991822848,2020-10-29 23:55:49,1830,51,5 minutes until the new episode of #KUWTK
1321955928522944513,2020-10-29 23:23:48,57509,3272,"I can’t even describe what this meant to me and my sisters, my brother, my mom and closest friends to experience together. Thank you so much Kanye for this memory that will last a lifetime ✨ Here’s a more close up view to see the incredible detail. https://t.co/XpxmuHRNok"
1321955644736303104,2020-10-29 23:22:41,238096,18510,"For my birthday, Kanye got me the most thoughtful gift of a lifetime. A special surprise from heaven. A hologram of my dad. ✨🤍 It is so lifelike! We watched it over and over, filled with emotion. https://t.co/jD6pHo17KC"
1321904372624855041,2020-10-29 19:58:56,11474,316,Night Swim https://t.co/GGjB8w2Kp3
1321904100380971013,2020-10-29 19:57:51,9509,232,Night Swim https://t.co/C1BtTkE1wK
1321904091828813827,2020-10-29 19:57:49,10187,199,Night Swim https://t.co/cuWgsv9eVO
1321904084467785729,2020-10-29 19:57:48,42619,1333,Night Swim https://t.co/3rZWYm3apI
1321860943207424001,2020-10-29 17:06:22,1485,43,"Shop #CorrectConcealBakeBrighten Friday, 11.06 at 12PT only at https://t.co/PoBZ3byUQI Watch my full tutorial now on my IGTV"
1321860868091555840,2020-10-29 17:06:04,1172,26,"I love the feedback we have been receiving from our bigger vials of the nude glosses, so we’re also relaunching our concealers in bigger vials and introducing four new shades to our KKW Concealer collection!"
1321860867131088898,2020-10-29 17:06:04,1130,22,"Our new corrector collection comes in four peach and orange hued shades that work to eliminate that darker under-eye color. This is my first step in my concealer routine no matter what kind of look I’m going for, I really can’t do glam without it."
1321860864752930816,2020-10-29 17:06:03,3604,137,"I’m excited to announce that we’re relaunching our @kkwbeauty Concealer Kits with an added first step: Correct, Conceal, Bake and Brighten! I have dark under-eye circles that can get really blue and purple when I’m tired, so my secret weapon to cover them up is with a corrector. https://t.co/9czMjBCoM1"
1321844538525233152,2020-10-29 16:01:11,3689,72,"NOW AVAILABLE: @SKIMS Solutionwear™ — introducing new pieces &amp; new features on our most popular styles, plus our best selling shapewear styles just restocked. Shop now in 9 colors &amp; in sizes XXS - 5X at https://t.co/Qsy51Sl2Sd and enjoy free shipping on domestic orders over $75. https://t.co/518aQefU9R"
1321814056941068288,2020-10-29 14:00:03,6719,242,Happy Thursday! Don’t miss a brand new episode of @KUWTK tonight at 8/7c on E! #KUWTK https://t.co/1VAuCTpAFD
1321568859837652993,2020-10-28 21:45:44,69656,1876,Now that I have your attention...this a reminder to VOTE. 6 days. https://t.co/2UPuT9nilH
1321447807580991490,2020-10-28 13:44:43,167832,6624,☀️ Girls just wanna have sun ☀️ https://t.co/1jFfva1rrV
1321151224889151490,2020-10-27 18:06:12,30958,963,"We danced, rode bikes, swam near whales, kayaked, watched a movie on the beach and so much more. I realize that for most people, this is something that is so far out of reach right now, so in moments like these, I am humbly reminded of how privileged my life is. #thisis40 https://t.co/UYOcVBpytW"
1321151217482014726,2020-10-27 18:06:10,58152,2781,"After 2 weeks of multiple health screens and asking everyone to quarantine, I surprised my closest inner circle with a trip to a private island where we could pretend things were normal just for a brief moment in time. https://t.co/cIFP7Nv5bV"
1321151209739309057,2020-10-27 18:06:08,13387,310,"Before COVID, I don’t think any of us truly appreciated what a simple luxury it was to be able to travel and be together with family and friends in a safe environment. https://t.co/lhzLIdutlZ"
1321151202038583298,2020-10-27 18:06:07,6459,204,"For my birthday this year, I couldn’t think of a better way to spend it than with some of the people who have helped shaped me into the woman I am today. https://t.co/sSZVCdbKH9"
1321151192165134344,2020-10-27 18:06:04,105131,4319,"40 and feeling so humbled and blessed. There is not a single day that I take for granted, especially during these times when we are all reminded of the things that truly matter. https://t.co/p98SN0RDZD"
1321119544585408512,2020-10-27 16:00:19,5844,157,COMING SOON: New @SKIMS Solutionwear™ styles! Our game changing shapewear collection is getting a major update: introducing new pieces and new features on our most popular styles - all inspired by feedback and requests from customers like you. https://t.co/SKgsdS06pP
1320837269994033153,2020-10-26 21:18:39,3021,62,I hope you enjoy both collections!! https://t.co/Vx9euN6wv0
1320836776680968193,2020-10-26 21:16:42,3017,59,You’re going to love this collection! The Bodysuits are my favorite 🖤 https://t.co/ydrXM3j5vh
1320757409934123010,2020-10-26 16:01:19,6171,143,"JUST DROPPED: @SKIMS Stretch Velvet — barely-there, luxe intimates made in a soft, stretchy plush velvet that hugs your curves. Shop now in 4 colors and in sizes XXS - 4X at https://t.co/Qsy51Sl2Sd and enjoy free shipping on domestic orders over $75. https://t.co/POlc7iut8q"
1320737244517257218,2020-10-26 14:41:11,287916,22104,This is 40! https://t.co/0XFHSaakOr
1319799559619563524,2020-10-24 00:35:10,35615,1074,✨👜 ✨👜 https://t.co/x2s8LVrUsL
1319709954006257664,2020-10-23 18:39:06,13012,288,https://t.co/Wo0mYx38GJ
1319709782270410757,2020-10-23 18:38:25,9049,130,https://t.co/7FHKi8xapZ
1319709775396020225,2020-10-23 18:38:24,2107,62,https://t.co/tm08OuONBC
1319709767795986432,2020-10-23 18:38:22,2891,114,https://t.co/ClYDAMFqOg
1319691357485731842,2020-10-23 17:25:12,2527,104,Last day!!! Vote for #KeepingUpwiththeKardashians for #TheRealityShow at this year's @peopleschoice Awards. Vote for us now at https://t.co/5RbMaGz6Ji #PCAs https://t.co/ReqfGXxyOi
1319691335193026565,2020-10-23 17:25:07,2261,122,"Last day!!! Vote for me for #TheStyleStar, #TheRealityTVStar and #TheSocialCelebrity at this year's @peopleschoice Awards. You guys support means the world to me! Vote for me now at https://t.co/5BUF6IuEFG #KimKardashianWest #PCAs https://t.co/re6d48aE4M"
1319682408128647169,2020-10-23 16:49:39,2201,40,Also shout of to @MindyWeiss for putting this all together. You were there putting together all my birthday parties when I was a little girl so this definitely came full circle.
1319682406039883776,2020-10-23 16:49:38,6459,206,I can’t wait to share so many more birthday photos and videos with you guys soon and I thank each and everyone of you who reached out with birthday wishes ✨ https://t.co/VY5NWV5w0J
1319682398611820544,2020-10-23 16:49:36,3370,96,I spent all of my 30s having my birthday parties. Each and every detail that went into this was so special and I am forever grateful to my family for taking the time to put this together to celebrate me turning 40. https://t.co/FAfwP5ANbz
1319682383935918081,2020-10-23 16:49:33,2693,110,"We then got to my 16th birthday party and my exact same car was there waiting for me with the same exact balloons with the same cake. After a while the curtains opened and the bottle service girls came out which happened to be my sisters and they re-created Tao night club, where https://t.co/nSkcSWfJDW"
1319682369583042562,2020-10-23 16:49:30,3192,112,Then as I entered in the room I ended up at my second birthday then my fourth birthday leading up to my 10th birthday where my sisters did the same exact dance that they did for me when I turned 10. https://t.co/v2QEdxhS3f
1319682351488749568,2020-10-23 16:49:25,3157,125,"My dad video taped and documented our whole lives so they showed each of the videos of my birthdays on a big screen behind the party. I entered into the room that started off at my first birthday party with the same ponies and the same cake, and my dad wishing me a happy 1st bday https://t.co/ytlq4JHukQ"
1319682344190660613,2020-10-23 16:49:24,3391,106,"You know I’m a sentimental person and this party was the most special. They re-created all of my special birthdays throughout my life from looking at all of our old home videos. They re-created the party, The same balloons, the same cake, everything! https://t.co/IXF3GdZGWN"
1319678733268275206,2020-10-23 16:35:03,66976,2508,All I can say is WOW! My mom and my sisters threw me the most epic surprise party that was so special in my heart. We showed it on E as a special so you guys got to see the behind the scenes of how it really went down. https://t.co/cJ90quZD3U
1319670183418540032,2020-10-23 16:01:04,7779,190,"DROPPING OCT 26: @SKIMS Stretch Velvet — barely-there intimates made in a soft, stretchy plush velvet that hugs your curves. Available in 3 new styles, 4 colors, and in sizes XXS - 4X on Monday, October 26 at 9AM PT / 12PM ET exclusively at https://t.co/Qsy51Sl2Sd. https://t.co/WXdMu2ZuqR"
1319363473973927936,2020-10-22 19:42:19,39184,1637,🎈 https://t.co/rBBNUimxbv
