id,created_at,favorite_count,retweet_count,text
1320719164894547968,2020-10-26 13:29:21,652,45,Let’s help each other through these times with the help of these books. Download your own copies here: https://t.co/FoF1BtSeFu
1320719103603204102,2020-10-26 13:29:06,3683,235,"I know it’s hard to focus on anything right now because we’re so distracted by the roar of the news &amp; the steady hum of our own anxiety. So for the next six weeks over at @oprahsbookclub, I’ll be spotlighting a curated list of seven books that comfort, inspire, and enlighten me. https://t.co/TBY8WFsl6i"
1320533377758470147,2020-10-26 01:11:06,1758,262,"With a little over a week until Election Day, I wanted to talk to local voters, thought leaders, &amp; voting rights experts across the nation so we’re all fully prepared to cast our vote. We’ll be headed to these states starting tomorrow at 8 PM EST. RSVP at https://t.co/FmeSmzUxZN https://t.co/PTW4aNInPA"
1319146658215555074,2020-10-22 05:20:46,50,9,@3LWTV Hey you out here in theseCovid streets? Saw u on Amtrak now here. Be careful . Mask 😷 up.
1318567012696817664,2020-10-20 14:57:28,458,55,"And if you still haven't seen it, you can stream the full conversation on @appletv+ here: https://t.co/7ShvNUyh96"
1318566450202857472,2020-10-20 14:55:14,992,90,Thanks for watching. You’ve got to text me your aha-moments! #Caste https://t.co/YDmasvDjqh
1316537642150846464,2020-10-15 00:33:28,797,139,Great job friend @GayleKing. Especially comments on the “baby jordans” and their life that could have been. https://t.co/aK3Sac5wVh
1316455368025874435,2020-10-14 19:06:32,3025,406,"Can’t wait to see what @ava does with @isabelwilkerson’s #Caste! It’s an absolute must-read for humanity and will surely become a must-watch film with her vision. Yay for you Avs!
https://t.co/DHUstlyosi"
1309662169911484418,2020-09-26 01:12:48,2599,294,😂😂😂 #TheOprahConversation https://t.co/59s1Zy5W3F
1309661796366774273,2020-09-26 01:11:19,1162,190,"Hey @mariahcarey, talent runs in your #lambily! #TheOprahConversation https://t.co/5Uigih7zGs"
1309661541407621122,2020-09-26 01:10:18,531,66,That’s a good idea! We just had water for our convo but maybe some bubbly for the next one @MariahCarey 🥂 #TheOprahConversation https://t.co/6jnpZWge2S
1309661364366041088,2020-09-26 01:09:36,587,108,Knew the #lambs would love it! #TheOprahConversation https://t.co/dmOrZduVhn
1309661221445079040,2020-09-26 01:09:02,1713,222,"I told @mariahcarey that in finding the true meaning of herself, she would help others find their OWN meaning. Hope you are “freer” like Mimi said she is now. #TheOprahConversation https://t.co/w6SV8Cjrkk"
1309660968205594625,2020-09-26 01:08:01,2187,306,"I’ve talked with @mariahcarey countless times (nine times on camera), but I also learned things I had no idea about in #TMOMC and through this conversation! #TheOprahConversation https://t.co/ZIjwdE2nAJ"
1309660659173515265,2020-09-26 01:06:48,6961,827,.@MariahCarey in her own words and in her own truth. #TheOprahConversation with Mimi is available on @AppleTV+. Watch the full episode now: https://t.co/HaD8BhnvTq https://t.co/xue7ItQXgv
1309311663414407171,2020-09-25 02:00:01,1036,107,This is how in sync Black women are. They all showed up in YELLOW without planning it. @gayleking missed out on this yellow party. #OWNYourVote https://t.co/xX1I1ZbMHK
1309311522531938304,2020-09-25 01:59:27,774,133,"And bring a friend, a family member, a neighbor to the polls with you! 🗳🗳🗳 #OWNYourVote https://t.co/lypyrKpgLW"
1309311167257554945,2020-09-25 01:58:02,2119,366,And if we’re preaching to the choir then we gotta hear y’all sing! Tell everyone you know they can’t sit this election out! #OWNYourVote https://t.co/KbBRLij7P5
1308912805639344130,2020-09-23 23:35:05,13846,1854,"Yes. Her mother’s child. My heart goes out to Tamika Palmer, who has to be reminded, again and again, that her “baby won’t be coming through that door.” #BreonnaTaylor https://t.co/HZ2AOGjq8G"
1308814461214568448,2020-09-23 17:04:18,6465,1746,🥴🥴🥴 https://t.co/6kVca88Ntm
1308814326187405315,2020-09-23 17:03:46,1490,217,"We talk about the real meanings behind her songs, her famous marriages, and the lasting imprint her traumatic childhood has on her own life. Hope you can join us for this eye-opening conversation tonight 9/24 at 12 AM EST on @appletv+ #TheOprahConversation"
1308814099934072836,2020-09-23 17:02:52,9780,2084,"I may not have known the words back then 🥴 but after 10 interviews together, I now know the FULL meaning of @MariahCarey. On this episode of #TheOprahConversation, the world’s most fascinating star speaks her truth for the first time in her memoir #TheMeaningOfMariahCarey. https://t.co/ImXqFC6JFA"
1308545904396427267,2020-09-22 23:17:09,635,158,Check your status &amp; register to vote if you haven’t already here: https://t.co/m9hyYs1n9M
1308545816941002752,2020-09-22 23:16:49,4020,770,"Over the years I’ve said it in as many ways as I know how: VOTE! What I know for sure, it’s the only way to have a voice in moving yourself and the country forward. #NationalVoterRegistrationDay @OWNYourVote https://t.co/zxrizmBX2g"
1308215240505675776,2020-09-22 01:23:13,1595,163,"Well now, surprise surprise to Me. Thank you @newsemmys for this honor, this Emmy! Thank you @Ava for the opportunity to add another layer of insight when talking about #WhenTheySeeus #NewsEmmy https://t.co/3KFT7rPvug"
1308214211504418819,2020-09-22 01:19:08,810,126,Bravo to the @OWNTV team and the recognition from @newsemmys for these great conversations! #NewsEmmy https://t.co/Ob1YdfnGFz
1307872133629071360,2020-09-21 02:39:50,6269,703,Congratulations to my brother @tylerperry for his Governors Award. You bet on yourself and showed the world that there’s a different path to ultimate success 👏🏽👏🏽👏🏽 #Emmys https://t.co/KPAbXIWaRH
1307163415798923264,2020-09-19 03:43:38,16553,1214,"We just bowed  in prayer at our house for her Full and filled life and legacy, resting in peace and power. https://t.co/JMpIVvpPYM"
1305336681067769858,2020-09-14 02:44:51,34,8,@3LWTV Belated Happinesses 🙏🏾 a day late but sincere
1305301112036233219,2020-09-14 00:23:31,2266,224,"Ready, Ready for y’all. Love you both @MsPattiPatti @MsGladysKnight #Legends #Verzuz"
1303838757385314304,2020-09-09 23:32:38,5338,242,Me and Sadie in this month’s @oprahmagazine—and 11 years ago when we first met at @PAWSChicago!😘🐶 https://t.co/ZH08Rf4dnA
1303517113332772870,2020-09-09 02:14:32,2065,295,My @oprahsbookclub Podcast is available today. First up: #Caste by @Isabelwilkerson. It’s time for a conversation about how we got to the America we are now and the country we hope it can be. Click here to listen now on @ApplePodcasts: https://t.co/p2VX3mMjPe https://t.co/aEeGM77xXV
1299550934805118976,2020-08-29 03:34:22,83829,9729,"What a gentle gifted SOUL. Showing us all that Greatness in between surgeries and chemo. The courage, the strength, the Power it takes to do that. This is what Dignity looks like. https://t.co/U3OOnJVS42"
1298795405342314496,2020-08-27 01:32:09,5207,966,"Jacob Blake. As his sister, Letetra Wideman, so eloquently said: When you #sayhisname, say all of them. Here we are again, demanding justice for yet another Black man. Something’s got to change. What will it take? https://t.co/EjWA6H9fEa"
1298111578995331074,2020-08-25 04:14:52,2200,136,WOW you look AMAaaaaaaZing! I am honored by your replication.❤️🖤 https://t.co/YNVusMwyXk
1298042552306802694,2020-08-24 23:40:35,1820,437,"From #BlackIsKing  to now #TheColorPurple, @blitzambassador has the perfect director’s brush for the next evolution of this beloved story. He blew us away with his unique vision for the upcoming musical film version and we can’t wait for you to see it 💜💜 https://t.co/foaMF74635"
1295884538216886273,2020-08-19 00:45:24,1030,130,Together we can overcome all obstacles in order to exercise our right to vote. Follow @OwnVote for more updates this election season. #OWNYourVote
1295884437964705797,2020-08-19 00:45:01,1817,212,"This will give my team the necessary time to put on their masks, get to the polls, cast their ballots, and volunteer. I challenge other companies to do the same because this might be the most important election of our lives."
1295884300949258241,2020-08-19 00:44:28,5884,906,"Today marks the 100th anniversary of the 19th Amendment, which gave women – although not all women – the right to vote. In honor of those who fought and continue to fight for our rights, I’m announcing that November 3rd, Election Day, will be a company holiday at @OWNTV. https://t.co/KQkZQxw6I3"
1295554900537913346,2020-08-18 02:55:33,34,4,@BlitzAmbassador Agree this is so fantastic. Get thrills everytime I see it. Can’t wait to see what you do .. Next!💜💜
1294091209749729280,2020-08-14 01:59:22,499,84,Watch now on @AppleTV+: https://t.co/7ShvNUyh96
1294091121749102592,2020-08-14 01:59:01,1580,325,"In this moment we hold the potential to move our culture forward in ways we never imagined. Bryan Stevenson, founder and director of @eji_org, joins me this week on #TheOprahConversation to talk about how accountability for our past can help us embrace a better future. https://t.co/IVUv6Y6I2Z"
1293371253378646022,2020-08-12 02:18:31,1701,121,I know Aunt Mavis is raising a glass to y’all in her jazz bar in Sweden 🥂 #GreenleafOwn https://t.co/k1l05IeFw9
1293370743292649472,2020-08-12 02:16:29,1734,130,"We have a wide range of experiences within our community. The characters &amp; actors on this show did that in their own way for five whole seasons. So to the actors, writers, creators, producers, crew, and fans: Take your bow. We did that. #GreenleafOwn https://t.co/FCoy0PMRxR"
1293370297773707264,2020-08-12 02:14:43,4132,466,.@GreenleafOWN all started with my intention to make a TV show about the Black church. We wanted to show a Black church family in an aspirational &amp; inspirational way. We wanted to show that there’s not just one way to be Black. Not everyone is the same. #GreenleafOwn https://t.co/jOzk5kcuLX
1292962228233281538,2020-08-10 23:13:11,10786,3783,150 Days since #BreonnaTaylor’s death. https://t.co/Yvgy16GuRF
1290887656977530881,2020-08-05 05:49:35,10107,493,"Remember when I saw you in the Bahamas a decade ago  and you sang “Bridge Over Troubled Water” and I said you should do the classics. Maybe now you will.
👏🏽👏🏽👏🏽👏🏽 thank you for your magnificent performance for #JohnLewis"
1290885003937628163,2020-08-05 05:39:03,152,12,@theebillyporter you slayed that CHANGE. It has no choice but to Come !👏🏽👏🏽👏🏽👏🏽🖤🖤
