id,created_at,favorite_count,retweet_count,text
1324179979035312129,2020-11-05 02:41:23,1813,135,"Leaders are chosen by the people. That means for a true democracy to work, every vote must count. Keep calm and count on. #everyvotecounts #counteveryvote #electionprotection https://t.co/YexqMPwWdK"
1323763437395091456,2020-11-03 23:06:12,1129,89,In America you have the right to vote. Make sure your rights are upheld with the ACLU #MobileJustice app. @aclu_socal https://t.co/wH8TubjTOb
1323712155909193729,2020-11-03 19:42:26,2315,126,You know that call you sent to voicemail? It could’ve been @KhloeKardashian and Macey Hensley asking you to vote. #Vote2020 https://t.co/v3xadgMOcW
1323683899491299333,2020-11-03 17:50:09,6861,468,Everybody vote. You don’t wanna end up with Wienerschnitzel if that’s not what you ordered. https://t.co/Brl9wIoiq0
1323433542919970816,2020-11-03 01:15:19,1526,107,".@SarahCpr is known by all kinds of people for her Trump impressions. Unfortunately, one of them is her marriage counselor. https://t.co/nZTaw8fJsK"
1323373831021424640,2020-11-02 21:18:03,5838,199,"What do you call the day after Halloween weekend and before the election? Oh, that’s right. Happy Eat All the Candy Day, everyone."
1323352751418400768,2020-11-02 19:54:17,1393,91,".@SachaBaronCohen wrote #Borat in my guesthouse. No, really. https://t.co/WRW9aPLYBB"
1323324810722643968,2020-11-02 18:03:15,4010,189,"Happy birthday, @DavidSchwimmer! Just keep schwimming."
1322603503408181248,2020-10-31 18:17:02,3575,222,I’ll be celebrating today by watching this year’s edition of Andy at a Haunted House... on repeat. #HappyHalloween https://t.co/xur7IGt6Jo
1322569079887065088,2020-10-31 16:00:15,4596,347,"For Halloween, @TheKalenAllen went to Stranger Things: The Drive-Into Experience, and I’m very glad he did. https://t.co/vq02ApSU3r"
1322305686831722496,2020-10-30 22:33:37,25,2,@youbestbeliebe ❤️🙏
1322304496999936001,2020-10-30 22:28:53,2908,169,I know how much you all like surprise proposals. Me too. :’) https://t.co/MDdVelmm63
1322286735884128256,2020-10-30 21:18:19,8350,678,Great. Just what we needed. An extra hour of 2020. #DaylightSavings
1322286101130694657,2020-10-30 21:15:48,17,0,@detrahorton ❤️
1322285913213341696,2020-10-30 21:15:03,15,0,@DRMeiser ❤️
1322285722322178048,2020-10-30 21:14:17,9,0,@BetteVtamayo1 ❤️
1322285646992478208,2020-10-30 21:13:59,8,0,@BobbiGirl63 ❤️
1322285578184925185,2020-10-30 21:13:43,9,0,@aprilrose80 ❤️
1322285468789043201,2020-10-30 21:13:17,7,0,@deb_marieRN ❤️
1322285190794805249,2020-10-30 21:12:11,11,0,@christyann20 ❤️
1322264338963427328,2020-10-30 19:49:19,5485,540,My favorite Halloween tradition. 2020 edition. https://t.co/G05XbcYKzO
1322242006203052032,2020-10-30 18:20:35,1288,77,You won’t believe what @HowieMandel went through to be on my show. https://t.co/9gx395AwTx
1322233351516745729,2020-10-30 17:46:11,2004,70,"Happy birthday, @AshleyGraham! I love you. https://t.co/RCfBY6LEuw"
1322161382666641410,2020-10-30 13:00:12,25554,1301,My costume this year is inspired by the real superheroes of 2020. https://t.co/76iem5fugB
1321980311492722689,2020-10-30 01:00:42,3304,196,Tomorrow. https://t.co/cp5jHbOIsG
1321971217042034688,2020-10-30 00:24:33,1640,58,Congratulations to the new Josthanssons!
1321957831545745408,2020-10-29 23:31:22,550,10,@Bowl_of_Worcel He might actually be the world’s most perfect man.
1321952282926145536,2020-10-29 23:09:19,15,3,@jillconnpac @nbcgameofgames I love his composition. He has an eye.
1321952181403095040,2020-10-29 23:08:55,2393,71,Oh ye of little faith. https://t.co/NRNDRN3aqe
1321891562524090369,2020-10-29 19:08:02,735,75,"In today's episode of #HowIFoundOut, Maria is spreading hope and love by sharing her story. Schedule your mammogram and take care of yourself. #BreastCancerAwarenessMonth #ThanksSponsor https://t.co/NSHcZwe9Br"
1321873896291758080,2020-10-29 17:57:50,1780,101,I love what @KhloeKardashian and @RealTristan13 are doing for True. https://t.co/BrrfXqYBUA
1321828169163235330,2020-10-29 14:56:08,4,0,@ZuzanaRennes ❤️
1321610808539848704,2020-10-29 00:32:25,700,72,With great breasts come great responsibility – my friends in this week’s episode of #LadyParts are here to remind you to get your annual breast screenings. Watch the full episode on @ellentube! https://t.co/ypw3aS5NPW #ThanksSponsor
1321603041108221952,2020-10-29 00:01:33,1468,96,This makes me very happy. https://t.co/LWonMScQTK
1321590645601886208,2020-10-28 23:12:18,18,0,@MeganMompher Very krafty❤️
1321590473668976640,2020-10-28 23:11:37,3353,175,of the mess you left when you went away https://t.co/szBl7vx5zA
1321553595397857282,2020-10-28 20:45:05,3329,154,"Happy birthday, Julia Roberts! Remember this? https://t.co/zECetTFTtY"
1321528909712687104,2020-10-28 19:06:59,1654,146,I got my #jush on with my favorite viral voter. https://t.co/MQzVbFom2f
1321498224041996288,2020-10-28 17:05:03,3877,278,Here are some great kids' costume ideas for 2020. You’re welcome. https://t.co/GX4BpVeX5l
1321295478185775112,2020-10-28 03:39:25,2687,116,"Congrats to the Dodgers, and to the Rays on a great #WorldSeries. It’s a great night to be a Los Angeleno. @Dodgers @RaysBaseball"
1321241655366701062,2020-10-28 00:05:32,8,1,@_gena__ ❤️
1321240021374939136,2020-10-27 23:59:03,1034,63,"My COVID compliance coordinator, Tes, has a keen eye. But does she have #HotHands? https://t.co/7vj92n2bMA"
1321216298735423488,2020-10-27 22:24:47,5118,37,"@chrissyteigen I wouldn’t want anyone to have to go through this, but for anyone who does, I’m so glad they have this to hold onto."
1321205114418253826,2020-10-27 21:40:20,11573,1676,This is the best thing on the internet today. https://t.co/tH56X2nj8L
1321169049691148289,2020-10-27 19:17:02,2905,153,This is my kind of Halloween party. https://t.co/RWUX0aAR05
1321101687872892928,2020-10-27 14:49:21,20,3,@carolynnconnor @andylassner See you soon❤️
1320842542020059136,2020-10-26 21:39:36,1155,94,.@AshleyGraham and @Official_twitch talked about what it’s like to be in an interracial marriage. https://t.co/mJNxp5ChoY
1320815389073264641,2020-10-26 19:51:42,2627,150,Happy #MeMeMonday https://t.co/bsiuomfLED
1320778015555473408,2020-10-26 17:23:12,5513,445,Just keep flapping. https://t.co/NrgZcoslll
1320422803707883520,2020-10-25 17:51:43,10297,575,"Happy birthday, @KatyPerry! Sending love to you and my favorite girl, Daisy Ellen Bloom."
1320100765889818624,2020-10-24 20:32:03,2181,91,"Can’t wait to see what happens tonight in the World Series, on at 8:08 ET on FOX! It’s Game 4, the Dodgers are up 2-1, and it’s best of 7, so that means I have no idea, but go Dodgers!"
1320068629052862465,2020-10-24 18:24:21,1098,76,"Halloween is full of sweet treats, and @TheKalenAllen is learning how to bake this Irish fortunetelling cake. https://t.co/6ZzdSuDxGp"
1320025712657485826,2020-10-24 15:33:49,3106,187,"Thinking of you and this sweater. Happy Birthday, @drake. https://t.co/mCucSGr8oC"
1319745316636143616,2020-10-23 20:59:37,3894,380,"I don’t know how @CelineDion, @Adele, and @DollyParton all ended up inside of this woman’s body, but they did. @Rachel__Harper https://t.co/W6PafS1OsA"
1319731661668454400,2020-10-23 20:05:22,2073,124,We need more cowgirls. https://t.co/SFpz1DNBlA
1319720162560364544,2020-10-23 19:19:40,4,0,@HeidiLykkeJens1 @Bethenny ❤️
1319708459873431552,2020-10-23 18:33:10,1016,62,"I had a lot of fun playing #WhodYouRather? with @Bethenny today. Congratulations, Bradley Cooper! https://t.co/09Roooivvf"
1319692035125723136,2020-10-23 17:27:54,3962,102,"Happy Boston Cream Pie Day and Happy Birthday, @VancityReynolds! How could I resist posting a photo of this gorgeousness? https://t.co/Q8TBiibYVD"
1319672694460219393,2020-10-23 16:11:03,5,0,@heartgramma @letsgomakeart ❤️
1319407279746150400,2020-10-22 22:36:23,1145,92,"Meet Lo Harris, the amazing artist behind my fall subscription box. https://t.co/yegCCL4YoO"
1319380965181931522,2020-10-22 20:51:49,10055,589,This is my favorite kind of pumpkin. https://t.co/t0Nx9Ip5HF
1319357924448165888,2020-10-22 19:20:16,742,87,"Here’s a fun thing. @cupidsundierun is having a pet costume competition. $1 = 1 vote, and all proceeds go to the Children’s Tumor Foundation. https://t.co/f3I6edvLkk"
1319336622731608064,2020-10-22 17:55:37,1621,90,I’m glad @ChelseaHandler told me what these chocolates were before I ate one. https://t.co/OSLDVz3bH8
1319315611185410048,2020-10-22 16:32:08,7814,229,HAPPY CAPS LOCK DAY TO ALL MY TEXTERS OVER 65.
1319069051637825538,2020-10-22 00:12:23,9314,664,10 days left. https://t.co/kkygAavsn3
1319047099112042496,2020-10-21 22:45:09,5370,131,HBD KKW @KimKardashian https://t.co/BDN3DVCOOu
1319030593812746240,2020-10-21 21:39:34,1379,66,.@Sarah_Hyland and @WellsAdams' response to having to postpone their wedding is the reason why they make such a great couple. https://t.co/S5lbkFYwje
1318998967321980928,2020-10-21 19:33:54,1281,114,"If your voting plan doesn’t involve donuts, you should revise it immediately. #VOTE @chasten https://t.co/Gp6H7D1hQC"
1318985718958452736,2020-10-21 18:41:15,533,43,#NSFW… OAYDUTAEZ: Not Safe For Work… Or Anywhere You Don’t Usually Talk About Erogenous Zones. Watch a brand-new episode of #LadyParts on @ellentube! https://t.co/Cyme8dXqx8 @sarah_hyland @DrSherylRoss @iamjojo @simmi #thankssponsor
1318983209305042944,2020-10-21 18:31:17,8,0,@DebeeVince ❤️
1318974596805087233,2020-10-21 17:57:03,3742,339,It's 2020. This kid has seen things so much scarier than this. https://t.co/0LPNbbkE7A
1318957167613935617,2020-10-21 16:47:48,39007,2192,"Thank you, Pope Francis, for seeing love for what it is."
1318664523532783616,2020-10-20 21:24:56,3702,253,"Happy #SlothDay, @KristenBell. https://t.co/nqoUbu3DU7"
1318647874096295936,2020-10-20 20:18:47,2026,82,"Happy birthday, John. Make sure to stretch. @JohnKrasinski https://t.co/OFYuuvNFLa"
1318633076142927872,2020-10-20 19:19:59,1682,100,"Today was ""Bring Your Pet to the Show"" day. https://t.co/Tnm6PM8bSe"
1318615874383667200,2020-10-20 18:11:37,1531,91,What day are we on? https://t.co/RuadMicjlv
1318602643711823874,2020-10-20 17:19:03,8,0,@mapsmemoriesmom ❤️
1318598737397125120,2020-10-20 17:03:32,3100,270,This little girl and her Halloween costume are exactly what we all need to see today. https://t.co/EQvkQkIvA0
1318354032059019264,2020-10-20 00:51:09,74,6,@TiffanyHaddish @MarlonWayans I hope you got the wasabi under control.
