id,created_at,favorite_count,retweet_count,text
1323979950504902657,2020-11-04 13:26:33,1833,105,"@TechAmazing Einstein was great, but did not succeed at engineering (and he tried)"
1323691195239960579,2020-11-03 18:19:08,1404,41,"@jtrevorchapman Yeah, that will be relatively easy, as so few users out in the ocean"
1323643630997917697,2020-11-03 15:10:08,3426,219,"@ICannot_Enough @ZainRaz4 @vincent13031925 @JonErlichman Yes, although I didn’t expect the stock to rise so much so soon. The reason for the stock options is that they’re needed to help pay for humanity to get to Mars in 10 to 20 years."
1323641938235580416,2020-11-03 15:03:24,1675,69,"@FutureJurvetson @PPathole Super appreciate your support, Steve! That convertible loan gave us 6 months of runway. Fortunately, Daimler invested $50M in May 2009, 5 months later."
1323640901248393217,2020-11-03 14:59:17,2225,92,@ZainRaz4 @vincent13031925 @JonErlichman Closest we got was about a month. The Model 3 ramp was extreme stress &amp; pain for a long time — from mid 2017 to mid 2019. Production &amp; logistics hell.
1323639506436825092,2020-11-03 14:53:45,5799,348,"@vincent13031925 @JonErlichman I put in my last money, even though I thought we would still fail. But, it was either that or certain death for Tesla. Extremely difficult to raise money for an electric car startup (considered super quirky back then), while stalwarts like GM &amp; Chrysler were going bankrupt."
1323637665829396480,2020-11-03 14:46:26,71124,3934,"@JonErlichman That funding round completed 6pm on Christmas Eve in 2008. Last hour of last day possible, as investors were leaving town that night &amp; we were 3 days away from bankruptcy. I put in all money I had, didn’t own a house &amp; had to borrow money from friends to pay rent. Difficult time."
1323432289947262982,2020-11-03 01:10:20,1105,29,@josh_bickett @PPathole Yes
1323431066158452736,2020-11-03 01:05:28,1578,70,"@PPathole Lowering Starlink terminal cost, which may sound rather pedestrian, is actually our most difficult technical challenge"
1323430438577328128,2020-11-03 01:02:59,1761,64,"@itshamzahkhan As soon as we get regulatory approval. Hopefully, around middle of next year."
1323430150034382848,2020-11-03 01:01:50,20217,609,"@thesheetztweetz Right now, it takes about 5 mins to set up, but, with future improvements, probably less than 3 mins. No technical knowledge needed. Just point at open sky &amp; plug in!"
1323360818336092167,2020-11-02 20:26:20,3243,179,@kjell_arne @flcnhvy Canada and Norway are next after we get US out of early beta!
1323360309407633414,2020-11-02 20:24:19,2046,63,@enn_nafnlaus @flcnhvy Didn’t realize that was possible. No problem if there’s a way get current design Cybertruck approved in Europe!
1323359592722669573,2020-11-02 20:21:28,3693,120,"@flcnhvy As soon as we get country approval. This is required for each country individually, as no EU-wide approval system exists. Probably start receiving final (there are many steps) approvals around Feb/March."
1323349059214708737,2020-11-02 19:39:37,2996,76,"@jason_rassett Lower latitude states need more satellites in position, so probably January"
1323348268823314432,2020-11-02 19:36:28,95457,3194,Several thousand more Starlink beta participation invitations going out this week
1323347225611829248,2020-11-02 19:32:19,2673,105,@LouisWFerreira New design is better with many minor tweaks. Even the small details matter.
1323346472545517569,2020-11-02 19:29:20,5798,81,@engineers_feed Haha
1323288694955061257,2020-11-02 15:39:45,48275,3266,Very close to actual expected flight! https://t.co/ruEdIPhTil
1323268205385818114,2020-11-02 14:18:19,6400,142,"@Nigel_Lockyer I could not be more excited about the new supercollider! That said, while it is considerably larger, I don’t think it necessarily requires all that much incremental engineering."
1323028835164655618,2020-11-01 22:27:09,2518,74,"@WholeMarsBlog @steezyysosa @AustinTeslaClub @JoeTegtmeyer @peterdog15 @TXTerafactory @Terafactorytx @lqdchkn @jd_average @EliBurton_ Sure, maybe in a month or so"
