id,created_at,favorite_count,retweet_count,text
1324139647111409667,2020-11-05 00:01:07,130958,40293,"Detroit Absentee Ballot Counting Chaos, Blocked Windows and Observers https://t.co/KzIwhbQrDt via @BreitbartNews"
1324139387546984449,2020-11-05 00:00:05,94651,26310,Demands Arise for PA Attorney General to ‘Step Aside‘ https://t.co/jrED09zpK1 via @BreitbartNews
1324130551234727936,2020-11-04 23:24:59,322522,61350,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!"
1324108206801563650,2020-11-04 21:56:11,0,0,.....there was a large number of secretly dumped ballots as has been widely reported!
1324108200141082624,2020-11-04 21:56:10,265582,60904,"We have claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won’t allow legal observers) the State of Georgia, and the State of North Carolina, each one of which has a BIG Trump lead. Additionally, we hereby claim the State of Michigan if, in fact,....."
1324061986779504642,2020-11-04 18:52:32,324347,56500,"We are winning Pennsylvania big, but the PA Secretary of State just announced that there are “Millions of ballots left to be counted.”"
1324059767581671425,2020-11-04 18:43:43,349559,68268,"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of the U.S. Senate. What a terrible thing is happening!"
1324033983882166272,2020-11-04 17:01:15,0,0,"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear — ASAP. Likewise, Michigan and others!"
1324032541544927233,2020-11-04 16:55:31,535727,93218,"They are finding Biden votes all over the place — in Pennsylvania, Wisconsin, and Michigan. So bad for our Country!"
1324012341458075648,2020-11-04 15:35:15,148868,41033,WHAT IS THIS ALL ABOUT? https://t.co/6487pYLZnL
1324007806694023169,2020-11-04 15:17:14,492199,81870,How come every time they count Mail-In ballot dumps they are so devastating in their percentage and power of destruction?
1324004491612618752,2020-11-04 15:04:04,0,0,"Last night I was leading, often solidly, in many key States, in almost all instances Democrat run &amp; controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted. VERY STRANGE, and the “pollsters” got it completely &amp; historically wrong!"
1323864823680126977,2020-11-04 05:49:04,0,0,"We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!"
1323864021167198209,2020-11-04 05:45:53,900296,132760,I will be making a statement tonight. A big WIN!
1323765884268224514,2020-11-03 23:15:55,942939,109109,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!
1323725991148167171,2020-11-03 20:37:24,180452,28431,"Get out &amp; VOTE! Under my Administration, our ECONOMY is growing at the fastest rate EVER at 33.1%. Next year will be the GREATEST ECONOMIC YEAR in American History!

Find your polling place below. https://t.co/OODmll3Snt"
1323692020880297986,2020-11-03 18:22:25,133917,24261,https://t.co/zX4bqgtWqH
1323691984989622272,2020-11-03 18:22:16,147932,29186,https://t.co/SMaOF79kPV
1323680963310866435,2020-11-03 17:38:29,502258,85873,"A parade for me in Nigeria, a great honor! https://t.co/EHiSQMFvSZ"
1323669746823372800,2020-11-03 16:53:54,201808,39224,https://t.co/oLOa4kC1i0
1323627228748460033,2020-11-03 14:04:57,131925,19797,https://t.co/gsFSghkmdM
1323534663453913093,2020-11-03 07:57:08,878054,167504,"VOTE! VOTE! VOTE!
https://t.co/85ySh1KYkh"
1323527920200003584,2020-11-03 07:30:20,115806,16506,Thank you Matt! https://t.co/hWiyWpvf8o
1323527405680562177,2020-11-03 07:28:18,118890,16772,Thank you Paris. Keep up the GREAT work! https://t.co/jPT046qOTU
1323520654306615297,2020-11-03 07:01:28,308239,61962,"To all of our supporters: thank you from the bottom of my heart. You have been there from the beginning, and I will never let you down. Your hopes are my hopes, your dreams are my dreams, and your future is what I am fighting for every single day! https://t.co/gsFSghkmdM https://t.co/fLek4keQ1t"
1323520310713352192,2020-11-03 07:00:06,51859,7405,Thank you Brad! https://t.co/Rdcp9D76Ol
1323515992069173248,2020-11-03 06:42:56,61392,9337,https://t.co/hLuyRy0WNU
1323515783947915270,2020-11-03 06:42:07,47636,7657,https://t.co/tyZW5hYRIY
1323515749164527618,2020-11-03 06:41:58,49189,7736,https://t.co/mpusBndpcH
1323513166672891904,2020-11-03 06:31:43,75417,12572,"THANK YOU MICHIGAN!
https://t.co/uKkJz6ioO2"
1323481349030879232,2020-11-03 04:25:17,238909,39783,"Our prayers are with the people of Vienna after yet another vile act of terrorism in Europe. These evil attacks against innocent people must stop. The U.S. stands with Austria, France, and all of Europe in the fight against terrorists, including radical Islamic terrorists."
1323475722032336896,2020-11-03 04:02:55,106549,18187,"Heading to GRAND RAPIDS, MICHIGAN after a great evening in KENOSHA, WISCONSIN! Get out and VOTE tomorrow, let’s MAKE AMERICA GREAT AGAIN! https://t.co/k6vyL1hLqL"
1323471421721464832,2020-11-03 03:45:50,77009,17084,"A vote for Sleepy Joe Biden is a vote to give control of government over to Globalists, Communists, Socialists, and Wealthy Liberal Hypocrites who want to silence, censor, cancel, and punish you. Get out and VOTE #MAGA tomorrow! https://t.co/gsFSghkmdM"
1323470806240927745,2020-11-03 03:43:23,69182,14436,"Biden has vowed to ABOLISH the American oil and natural gas industries, and BAN fracking. As long as I am President, we will remain the number one producer of oil and natural gas on earth – and we will remain Energy Independent! https://t.co/gsFSghkmdM https://t.co/v1RYeAvhC4"
1323469256667942913,2020-11-03 03:37:14,96949,18694,"A vote for me and the Republican Party is a vote for the American Dream! Over the next four years, we will make America into the Manufacturing Superpower of the World, and we will end our reliance on China once and for all. https://t.co/gsFSghkmdM https://t.co/S7PAIqWd0y"
1323468357312667649,2020-11-03 03:33:39,92179,16893,"I am asking you to go VOTE for your favorite president, we still have work to do! Let’s WIN, WIN, WIN! https://t.co/ysLmOS689V"
1323468022674239489,2020-11-03 03:32:20,46092,7678,https://t.co/hIQJEO7JOY
1323467986716495873,2020-11-03 03:32:11,44025,7284,https://t.co/JXkiePOLMb
1323467626786508800,2020-11-03 03:30:45,58844,9418,"THANK YOU WISCONSIN! 
https://t.co/oqG7u6KAiq"
1323440225134301197,2020-11-03 01:41:52,56549,12087,https://t.co/fKMVDC5vXT
1323430341512622080,2020-11-03 01:02:36,0,0,The Supreme Court decision on voting in Pennsylvania is a VERY dangerous one. It will allow rampant and unchecked cheating and will undermine our entire systems of laws. It will also induce violence in the streets. Something must be done!
1323427944447070209,2020-11-03 00:53:04,78951,14273,https://t.co/gsFSghkmdM https://t.co/09vZvRrS1V
1323426413286952960,2020-11-03 00:46:59,85539,18642,"THANK YOU MICHIGAN! Tomorrow, you have the power, with your vote, to save AMERICA! So get your friends, get your family, get your neighbors and co-workers, and GET OUT AND VOTE! Together, WE will MAKE AMERICA GREAT AGAIN! https://t.co/r51nIlOrKx"
1323425512933523456,2020-11-03 00:43:24,75978,16462,"Over the next 4 years, we will teach our children to love our Country, honor our history, and always respect our great American Flag—and with God’s help, we will defend the right to life, religious liberty, and the right to KEEP AND BEAR ARMS! https://t.co/gsFSghkmdM"
1323425208255086592,2020-11-03 00:42:12,185375,38759,"For 47 years, Joe Biden viciously attacked Black Americans. He called young black men “super predators.” To every black American: I am asking for your vote. This is your one and only chance to show Sleepy Joe what you think of his decision to attack you, jail you, and betray you!"
1323424836077670400,2020-11-03 00:40:43,133423,28001,"Joe Biden would increase refugees from terrorist nations by 700%. His plan would overwhelm your communities and turn Michigan, Minnesota, Wisconsin and the entire Midwest into a refugee camp. I am protecting your families and keeping Radical Islamic Terrorists OUT of our Country!"
1323424722911170560,2020-11-03 00:40:16,112690,22997,A vote for Joe Biden is a vote to extinguish and eradicate your state’s auto industry. Biden is a corrupt politician who SOLD OUT Michigan to CHINA. Biden is the living embodiment of the decrepit and depraved political class that got rich bleeding America Dry!
1323423893831536641,2020-11-03 00:36:58,90837,17425,I just signed an executive order to teach our students PRO-AMERICAN Values! https://t.co/WjPo7Qgooz
1323422929850372098,2020-11-03 00:33:09,45866,9861,"Sleepy Joe Biden has vowed to ABOLISH the American oil and natural gas industries, and BAN fracking. Biden’s energy ban will send every state into crushing poverty, from Michigan, to Wisconsin to Arizona to Pennsylvania. https://t.co/gsFSghkmdM"
1323422500626288641,2020-11-03 00:31:26,43539,7573,https://t.co/yxoigJdsMz
1323394390446977024,2020-11-02 22:39:44,224038,22037,"Just landed in Traverse City, Michigan. Big crowd!"
1323390619570626560,2020-11-02 22:24:45,87725,18149,"¡Mi #AmericanDreamPlan es una promesa para los hispanoamericanos de impulsar una economía próspera, proveer oportunidades de educación para todos, preservar la libertad y apoyar la fe, la familia y la comunidad! https://t.co/RSuEyIFQ0W"
1323390300505690112,2020-11-02 22:23:29,69338,13590,"My #AmericanDreamPlan is a promise to Hispanic Americans to fuel a thriving economy, provide education opportunity for all, preserve freedom, and support faith, family, and community! 
https://t.co/5VPkbZPavC"
1323387597796900866,2020-11-02 22:12:45,146690,26074,"As Christians throughout this great Country celebrate All Souls Day, let’s remember those who went before us and built this great nation. May their legacy inspire us as we keep our nation what it has always been: blessed and great!"
1323381654451376133,2020-11-02 21:49:08,69049,15001,"For years you had a President who apologized for America – now you have a President who is standing up for America, and standing up for PENNSYLVANIA. Tomorrow, you have the power, with your vote, to save AMERICA! GET OUT AND VOTE!! #MAGA https://t.co/Sx0PBaplkJ"
1323380988379078657,2020-11-02 21:46:29,67489,13855,"With your VOTE, we will continue to cut your taxes and regs, support our police, support our military, protect your 2A, defend religious liberty &amp; ensure more products are proudly stamped MADE IN THE USA! Next year will be the greatest economic year in the history of our Country! https://t.co/xiOTYudYic"
1323377681996697601,2020-11-02 21:33:21,48384,9701,"...no future for America’s youth. A vote for Biden is a vote for Lockdowns, Layoffs and Misery. Get out and VOTE tomorrow! https://t.co/gsFSghkmdM"
1323377677974294530,2020-11-02 21:33:20,121372,28829,"Joe Biden is promising to delay the vaccine and turn America into a prison state—locking you in your home while letting far-left rioters roam free. The Biden Lockdown will mean no school, no graduations, no weddings, no Thanksgiving, no Christmas, no Fourth of July, and..."
1323376918620758022,2020-11-02 21:30:19,63299,13030,"If I don’t sound like a typical Washington politician, it’s because I’m NOT a politician. If I don’t always play by the rules of the Washington Establishment, it’s because I was elected to fight for YOU, harder than anyone ever has before! https://t.co/gsFSghkmdM https://t.co/eVdVbUUwPM"
1323375536488521738,2020-11-02 21:24:49,53526,10179,"Yesterday, I was thrilled to be endorsed by the Pittsburgh Post-Gazette, the first time the paper has endorsed a Republican for president in half a century. Thank you! #MAGA https://t.co/hwwazi2SQY"
1323375343571509249,2020-11-02 21:24:03,51770,10649,...He was a cheerleader for NAFTA and China’s entry into the WTO. Pennsylvania lost half of its manufacturing jobs after those Biden Calamities. Joe Biden is a corrupt politician who SOLD OUT Pennsylvania to CHINA!
1323375339540762625,2020-11-02 21:24:02,110824,24447,"Joe Biden is a globalist who spent 47 years outsourcing your jobs, opening your borders, and sacrificing American blood and treasure in endless foreign wars. He shuttered your steel mills, annihilated your coal jobs, and supported every disastrous trade deal for half a century..."
1323374386980753408,2020-11-02 21:20:15,40132,8745,"Joe Biden’s plan to BAN FRACKING is an Economic DEATH SENTENCE for Pennsylvania. A vote for Biden is a vote to Ban Fracking, Outlaw Mining, explode energy costs, and totally DESTROY Pennsylvania. Get out tomorrow and VOTE #TrumpPence2020! https://t.co/niFJw558En"
1323373963725152258,2020-11-02 21:18:34,37217,6720,https://t.co/cnRzJEwXKO
