id,created_at,favorite_count,retweet_count,text
1323346718189080576,2020-11-02 19:30:18,276137,45547,https://t.co/BrTBvXb08b https://t.co/nXKdykG7eG
1318297296254226435,2020-10-19 21:05:42,87473,8639,Stunning and important. So much love and respect for @boniver https://t.co/rmz8gx90KI
1317480984862879749,2020-10-17 15:01:59,176266,20798,"Along with the signed cd, some lucky purchasers of these items may even receive complimentary cat hair stuck inside the pages. Or the aromatic scent of white wine I occasionally spill while signing. #Caturday https://t.co/zSHpnhCKmB https://t.co/LkasmuV83Y"
1313938080290803715,2020-10-07 20:23:44,406519,63936,"I spoke to @vmagazine about why I’ll be voting for Joe Biden for president. So apt that it’s come out on the night of the VP debate. Gonna be watching and supporting @KamalaHarris by yelling at the tv a lot. And I also have custom cookies 🍪💪😘 

📷 @inezandvinoodh https://t.co/DByvIgKocr"
1311031952544235527,2020-09-29 19:55:49,161941,21641,WELL this took my breath away and I’m honored to hear Cardigan intertwined with the wonderful @AvrilLavigne’s masterpiece ‘I’m with you’. Bravo and thanks @yungblud!! 👏👏🙏🙏 https://t.co/uN69AADh4f
1307895164174823424,2020-09-21 04:11:21,249144,28444,Yeah I showed up at your party...then made a thematic album chapter about it 😄 https://t.co/kW25zqtOqe https://t.co/1M6gwWN7bO
1307031585624076288,2020-09-18 18:59:48,135639,19843,“Betty” Live from the 2020 Academy of Country Music Awards is out now 💫 https://t.co/XesvEWY45V https://t.co/hiT9lxy6T8
1306044431850770432,2020-09-16 01:37:12,189861,27621,Guys I don’t know anything but I know I miss youuuuu. So watch the @ACMawards for my performance of ‘Betty’ 🙂 https://t.co/20yUFLYG8B
1305204230060494849,2020-09-13 17:58:32,180851,31647,Bout to show up at your party @ACMawards 😺 https://t.co/ekNJfv4hci
1304880467825627138,2020-09-12 20:32:01,92882,9596,@VancityReynolds @jessetyler @blakelively not trying to be The Loudest Woman This Town Has Ever Seen™️ but... I LOVE THIS
1298833883350413313,2020-08-27 04:05:03,152541,18965,The third album theme I put together is called “folklore: the saltbox house chapter” 🌾  Listen here: https://t.co/YmqMGWYdY9 https://t.co/2g9ZYuALG2
1298654867968479232,2020-08-26 16:13:43,39065,4898,@vitoriamariox Vitoria!! Your video just made my day. You worked so hard to get those incredible grades and it was an honor to have some part in your journey. Let’s find a way to meet when it’s safe to! So proud of you 💕
1297748490647490560,2020-08-24 04:12:05,155790,21924,The next thematic composition that I put together from the album is out now 🌙 Listen to “folklore: the sleepless nights chapter” here: https://t.co/QFbi6rH5JJ https://t.co/X62Gb3KkjQ
1296662967359070209,2020-08-21 04:18:36,182202,27576,"In my head, the songs on folklore fit together in different groups and “chapters” - based on how they fit together thematically. I want to share the first one today. Here’s “folklore: the escapism chapter” ♥️ https://t.co/UVZGvIpyRf https://t.co/quRt2iNFUK"
1295710489318760449,2020-08-18 13:13:48,151458,22764,"folklore deluxe edition featuring bonus song “the lakes” is now available to stream/download 🌊
https://t.co/OTi6HJH2ir

📷: Beth Garrabrant https://t.co/C65Ekj31sU"
1294685438528159749,2020-08-15 17:20:37,389589,68321,Donald Trump’s ineffective leadership gravely worsened the crisis that we are in and he is now taking advantage of it to subvert and destroy our right to vote and vote safely. Request a ballot early. Vote early.
1294685437362155522,2020-08-15 17:20:37,768748,158631,Trump’s calculated dismantling of USPS proves one thing clearly: He is WELL AWARE that we do not want him as our president. He’s chosen to blatantly cheat and put millions of Americans’ lives at risk in an effort to hold on to power.
1293327291850907648,2020-08-11 23:23:49,247539,20963,YES https://t.co/FuxljfhgZP
1290431583414095873,2020-08-03 23:37:19,44662,3486,@jpcleds WOW this is incredible!! Thank you so much for making this. 🎂 I also saw your Instagram and your art is phenomenal!👏👏👏😘😘😘
1290347477418336259,2020-08-03 18:03:06,286900,42995,https://t.co/frGE46P5vD https://t.co/xz1AqHMWWN
1288979593379143680,2020-07-30 23:27:37,22184,1622,@thechicks https://t.co/uaNE7N2N7x
1288956898495139840,2020-07-30 21:57:26,68845,6864,@seeitinmymind Welcome back from your trip! We are all somber woodland fairies now. Feel free to grab a wicker basket and join us! 🧚‍♀️ 🧚‍♂️😄
1288868421539700736,2020-07-30 16:05:52,20317,2733,"@AmiraRasool Amira, I admire the work you’re doing and I’m happy to make a contribution to your company and to support the Black in Fashion Council (launching on 8/3) with a donation 💗@thefolklore @amirarasool @bifcglobal  #blackinfashioncouncil"
1288689416639254529,2020-07-30 04:14:34,133849,21938,The video for cardigan “cabin in candlelight” version is out now using new behind-the-scenes footage from the album photoshoot. You can watch it here: https://t.co/rsSvCRO6P3 https://t.co/7lAbxpLybG
1288687288046714880,2020-07-30 04:06:06,175293,22788,cardigan “cabin in candlelight” version is out now 🕯https://t.co/pBbcZW4kqc https://t.co/pxzIfLi0OQ
1288681710159306753,2020-07-30 03:43:56,37689,3829,@kenziecoffman When I tell you I nearly choked on my wine laughing at this 😂😂😂😂
1288624417187270658,2020-07-29 23:56:17,368370,32826,Thank you for keeping the secret til now 🙏🙏😂😂 https://t.co/r6ny2yasMw
1288156047660679169,2020-07-28 16:55:09,25729,2322,@maisiehpeters My ears have been blessed on this fine Tuesday 🙏🙏🙏
1287963786842968065,2020-07-28 04:11:10,164483,21048,"The limited edition “cardigan” single collection is available now, which has the original voice memo I sent Aaron for the song on April 27, 2020 (alternate lyrics included.) The song + voice memo are available on 7” &amp; 12” vinyl editions and CD through 7/30 https://t.co/zSHpnhUlLb https://t.co/uPiK0cZP4i"
1286791820668817412,2020-07-24 22:34:12,76337,14168,@joshvisser Omg did you just call me “daddy”
1286781998862917633,2020-07-24 21:55:10,33087,4912,@KaileySteward The whole album mood board was actually just ‘life of inner forest witch’ written in quill and ink on a scroll made of tree bark so this tracks
1286781466945388544,2020-07-24 21:53:03,35620,3674,@stephenszczerba yep just trying to do my part over here 😷🕯😺
1286516175627792385,2020-07-24 04:18:53,176779,25484,"You can get the bonus song “the lakes” on the 8 deluxe CD editions, 8 deluxe vinyl editions, and the cassette edition of folklore that are available at https://t.co/zSHpnhUlLb 🌊 

📷: Beth Garrabrant https://t.co/ZpecT2hLD0"
1286515957033127936,2020-07-24 04:18:01,244987,49849,"I knew you tried to change the ending, Peter losing Wendy. The #cardiganMusicVideo is out now.

https://t.co/Yu1UmTNnJI https://t.co/gDgNhkDUuq"
1286513561553047557,2020-07-24 04:08:29,568768,124965,"In isolation my imagination has run wild and this album is the result. I’ve told these stories to the best of my ability with all the love, wonder, and whimsy they deserve. Now it’s up to you to pass them down. folklore is out now: https://t.co/xdcEDfithq  

📷: Beth Garrabrant https://t.co/vSDo9Se0fp"
1286504215012048898,2020-07-24 03:31:21,179306,30385,30 minutes until the #cardiganMusicVideo! 🎹✨ https://t.co/DOnxNQEnfU
